TickMSC,Time,Bid,Ask,Spread,BidVol,AskVol,Ping
1767258001136,2026.01.01 09:00:01.136,1.0850202050827504,1.0851502050827504,13,12,1,43
1767258002605,2026.01.01 09:00:02.605,1.0849691063772309,1.085079106377231,11,2,10,23
1767258003475,2026.01.01 09:00:03.475,1.0849088063671772,1.0850288063671771,12,2,14,27
1767258004779,2026.01.01 09:00:04.779,1.0849274810306473,1.0851174810306472,19,9,9,39
1767258005919,2026.01.01 09:00:05.919,1.0849075958249519,1.085117595824952,21,5,14,28
1767258007024,2026.01.01 09:00:07.024,1.0849985932674795,1.0851185932674794,12,5,5,41
1767258008078,2026.01.01 09:00:08.078,1.085046223187212,1.085176223187212,13,1,14,20
1767258008209,2026.01.01 09:00:08.209,1.0850699078440484,1.0852199078440485,15,13,13,32
1767258008685,2026.01.01 09:00:08.685,1.0850960617942487,1.0853060617942487,21,6,4,21
1767258009933,2026.01.01 09:00:09.933,1.085162605153267,1.085282605153267,12,8,4,42
1767258010273,2026.01.01 09:00:10.273,1.0852049310578533,1.0853949310578532,19,6,14,29
1767258011765,2026.01.01 09:00:11.765,1.085229919379778,1.085459919379778,23,14,11,42
1767258011862,2026.01.01 09:00:11.862,1.0851809063209632,1.0852809063209632,10,7,13,38
1767258013268,2026.01.01 09:00:13.268,1.0853340036692336,1.0854340036692336,10,14,1,36
1767258014401,2026.01.01 09:00:14.401,1.0852788445313681,1.0854588445313682,18,4,3,43
1767258015282,2026.01.01 09:00:15.282,1.0852632173945131,1.0854432173945132,18,2,13,32
1767258015422,2026.01.01 09:00:15.422,1.0851804809806926,1.0853204809806927,14,1,1,33
1767258016764,2026.01.01 09:00:16.764,1.085207420888631,1.0853874208886312,18,12,5,30
1767258017543,2026.01.01 09:00:17.543,1.0852149764104955,1.0854149764104954,20,6,5,29
1767258017896,2026.01.01 09:00:17.896,1.0852532402324135,1.0854132402324135,16,9,9,26
1767258019343,2026.01.01 09:00:19.343,1.0851662869508585,1.0853462869508586,18,10,13,29
1767258020158,2026.01.01 09:00:20.158,1.0852219322342274,1.0854319322342274,21,5,8,43
1767258020553,2026.01.01 09:00:20.553,1.085181560464154,1.0853415604641539,16,12,5,20
1767258021778,2026.01.01 09:00:21.778,1.0851741102041859,1.085354110204186,18,2,5,33
1767258022743,2026.01.01 09:00:22.743,1.08522068876762,1.08546068876762,24,1,7,22
1767258023029,2026.01.01 09:00:23.029,1.0852337521018265,1.0853437521018265,11,3,12,32
