Time,TickMS,Phase,Bid,Ask,Spread,Velocity,Acceleration,Mom_Hist,Mom_Macd,Mom_Sig,Flow_MFI,Flow_DUp,Flow_DDown,Ext_VA_Vel,Ext_VA_Acc,Floating_PL,Realized_PL,Action,PosCount,ActiveSL,ActiveTP,DOM_Snapshot
2026.01.27 09:56:31,383,IDLE,1.18663,1.18669,6.5,0.95017,-0.0591,-77.78,-87.59,-9.82,50.0,-51.29,-50.0,99.91,99.97,-35.39,0.0,MimicResearch,2,0.0,1.20013,1.18663
2026.01.27 09:56:32,437,IDLE,1.18661,1.18667,6.5,1.1243,0.17413,-78.17,-88.7,-10.53,50.0,-53.19,-50.0,99.91,99.96,-35.4,0.0,MimicResearch,2,0.0,1.20013,1.18661
2026.01.27 09:56:32,630,IDLE,1.1866,1.18666,6.5,1.34816,0.22386,-78.31,-89.14,-10.82,50.0,-53.37,-50.0,99.91,99.96,-35.4,0.0,MimicResearch,2,0.0,1.20013,1.1866
2026.01.27 09:56:32,807,IDLE,1.18659,1.18666,6.5,1.53856,0.1904,-78.43,-89.55,-11.12,50.0,-53.56,-50.0,99.91,99.96,-36.24,0.0,MimicResearch,2,0.0,1.20013,1.18659
2026.01.27 09:56:33,204,IDLE,1.18654,1.1866,6.5,3.19732,0.18422,-78.8,-91.21,-12.42,50.0,-52.06,-50.0,99.9,99.96,-35.4,0.0,MimicResearch,2,0.0,1.20013,1.18654
2026.01.27 09:56:33,452,IDLE,1.18657,1.18663,6.5,2.01903,0.48046,-78.63,-90.34,-11.71,50.0,-53.74,-50.0,99.9,99.96,-35.4,0.0,MimicResearch,2,0.0,1.20013,1.18657
2026.01.27 09:56:33,708,IDLE,1.18658,1.18665,6.5,1.89249,-0.12654,-78.52,-89.88,-11.36,50.0,-53.1,-50.0,99.9,99.96,-36.24,0.0,MimicResearch,2,0.0,1.20013,1.18658
2026.01.27 09:56:33,941,IDLE,1.18651,1.18657,6.5,3.01311,1.12062,-78.91,-92.36,-13.46,50.0,-54.11,-50.0,99.9,99.96,-35.4,0.0,MimicResearch,2,0.0,1.20013,1.18651
2026.01.27 09:56:34,291,IDLE,1.18653,1.18659,6.5,2.90238,-0.49582,-78.85,-91.61,-12.76,50.0,-53.15,-50.0,99.9,99.96,-35.39,0.0,MimicResearch,2,0.0,1.20013,1.18653
2026.01.27 09:56:34,647,IDLE,1.18652,1.18658,6.5,3.3982,0.20087,-78.89,-92.0,-13.11,50.0,-53.73,-50.0,99.9,99.96,-35.4,0.0,MimicResearch,2,0.0,1.20013,1.18652
