Reading: Mimic_Research_EURUSD_Merged.csv

--- ANALYZING 'PROBING' BEHAVIOR (Safety Zone) ---
[14:50:00] Trade Start @ 1.19256 (SL: 0.00000)
   👉 [14:50:01] PROBE: Crossed Entry. Vel: 0.75
   👉 [14:50:02] PROBE: Crossed Entry. Vel: 0.60
   👉 [14:50:03] PROBE: Crossed Entry. Vel: 0.72
   👉 [14:50:04] PROBE: Crossed Entry. Vel: 0.73
   👉 [14:50:05] PROBE: Crossed Entry. Vel: 0.78
   👉 [14:50:20] PROBE: Crossed Entry. Vel: 0.81
   👉 [14:50:23] PROBE: Crossed Entry. Vel: 0.92
   👉 [14:50:25] PROBE: Crossed Entry. Vel: 0.92
   👉 [14:50:27] PROBE: Crossed Entry. Vel: 0.81
   👉 [14:55:01] PROBE: Crossed Entry. Vel: 4.08
   👉 [14:55:08] PROBE: Crossed Entry. Vel: 1.02
   👉 [14:55:09] PROBE: Crossed Entry. Vel: 0.88
   👉 [14:55:11] PROBE: Crossed Entry. Vel: 0.97
   👉 [14:55:12] PROBE: Crossed Entry. Vel: 1.56
   👉 [14:55:13] PROBE: Crossed Entry. Vel: 1.67
   👉 [14:55:16] PROBE: Crossed Entry. Vel: 1.39
   👉 [14:55:16] PROBE: Crossed Entry. Vel: 1.19
   👉 [14:55:18] PROBE: Crossed Entry. Vel: 1.78
   👉 [14:55:19] PROBE: Crossed Entry. Vel: 1.54
   👉 [14:55:20] PROBE: Crossed Entry. Vel: 1.94
   👉 [14:55:21] PROBE: Crossed Entry. Vel: 1.81
   👉 [14:55:22] PROBE: Crossed Entry. Vel: 1.56
   👉 [14:55:33] PROBE: Crossed Entry. Vel: 1.18
   👉 [14:55:44] PROBE: Crossed Entry. Vel: 1.36
   👉 [14:56:02] PROBE: Crossed Entry. Vel: 1.20
   👉 [14:56:06] PROBE: Crossed Entry. Vel: 1.93
   👉 [14:57:04] PROBE: Crossed Entry. Vel: 2.41
   👉 [14:57:10] PROBE: Crossed Entry. Vel: 1.73
