=========================================================================================
🔍 VAKU 3.0: MRI SKALPOLÓ DIAGNOSZTIKA (5m ALAP + 1m DEEP DIVE)
=========================================================================================

Fájl: Merkava_XAUUSD_v1.10_20260408_025931.csv
Feldolgozott adat: 464,265 tick | Időtartam: 46.55 óra

SZABÁLY: A rendszer 5 perces időszeleteket listáz ki. Ha egy 5 perces szakaszban anomália
történik (Fagyás > 5s VAGY Bármilyen HFT Burst), az algoritmus rázoomol (Deep Dive),
és alatta 1-perces felbontásban is kilistázza a kritikus esemény pontos helyét.

Időszak            | Tickek   | P50(T/s) | P90(T/s) | Max Fagyás(s) | >2s Fagyások | HFT Burst(>20T)
-------------------------------------------------------------------------------------------------------
2026-04-08 02:55   | 112      | 5.0      | 5.2      | 1.0           | 0            | 0
2026-04-08 03:00   | 1,400    | 5.0      | 5.1      | 0.8           | 0            | 0
2026-04-08 03:05   | 1,354    | 5.0      | 5.1      | 1.9           | 0            | 0
2026-04-08 03:10   | 1,227    | 5.0      | 5.1      | 2.0           | 1            | 0
2026-04-08 03:15   | 1,176    | 5.0      | 5.1      | 1.4           | 0            | 0
2026-04-08 03:20   | 1,118    | 5.0      | 5.1      | 2.0           | 1            | 0
2026-04-08 03:25   | 1,120    | 5.0      | 5.1      | 1.2           | 0            | 0
2026-04-08 03:30   | 1,080    | 5.0      | 5.1      | 1.6           | 0            | 1 🔥
  ↳ 2026-04-08 03:30 | 228      | 4.9      | 5.1      | 1.6           | 0            | 1 🔥
  ↳ 2026-04-08 03:31 | 218      | 4.9      | 5.1      | 1.0           | 0            | 0
  ↳ 2026-04-08 03:32 | 192      | 4.9      | 5.1      | 1.4           | 0            | 0
  ↳ 2026-04-08 03:33 | 233      | 5.0      | 5.1      | 1.0           | 0            | 0
  ↳ 2026-04-08 03:34 | 209      | 5.0      | 5.2      | 1.4           | 0            | 0
2026-04-08 03:35   | 1,054    | 4.9      | 5.1      | 1.6           | 0            | 0
2026-04-08 03:40   | 933      | 4.9      | 5.1      | 2.0           | 1            | 0
2026-04-08 03:45   | 994      | 4.9      | 5.1      | 2.6           | 2            | 0
2026-04-08 03:50   | 974      | 4.9      | 5.1      | 2.8           | 3            | 0
2026-04-08 03:55   | 1,017    | 4.9      | 5.1      | 2.4           | 2            | 0
2026-04-08 04:00   | 1,370    | 5.0      | 5.1      | 1.0           | 0            | 0
2026-04-08 04:05   | 1,231    | 5.0      | 5.1      | 1.0           | 0            | 0
2026-04-08 04:10   | 1,174    | 5.0      | 5.1      | 2.4           | 1            | 0
2026-04-08 04:15   | 1,237    | 5.0      | 5.1      | 1.0           | 0            | 0
2026-04-08 04:20   | 1,347    | 5.0      | 5.2      | 0.8           | 0            | 0
2026-04-08 04:25   | 1,183    | 4.9      | 5.2      | 1.8           | 0            | 0
2026-04-08 04:30   | 1,311    | 5.0      | 5.1      | 1.4           | 0            | 0
2026-04-08 04:35   | 1,136    | 5.0      | 5.1      | 1.2           | 0            | 0
2026-04-08 04:40   | 1,041    | 4.9      | 5.1      | 2.0           | 1            | 0
2026-04-08 04:45   | 1,052    | 4.9      | 5.1      | 1.8           | 0            | 0
2026-04-08 04:50   | 1,061    | 5.0      | 5.2      | 3.2           | 2            | 0
2026-04-08 04:55   | 963      | 4.9      | 5.2      | 1.8           | 0            | 0
2026-04-08 05:00   | 1,110    | 5.0      | 5.2      | 2.0           | 1            | 0
2026-04-08 05:05   | 942      | 4.9      | 5.1      | 2.2           | 1            | 0
2026-04-08 05:10   | 1,003    | 4.9      | 5.1      | 1.6           | 0            | 0
2026-04-08 05:15   | 672      | 4.7      | 5.1      | 2.6           | 5            | 0
2026-04-08 05:20   | 649      | 4.6      | 5.1      | 4.6           | 8            | 0
2026-04-08 05:25   | 697      | 4.9      | 5.1      | 5.8 ⚠️        | 12           | 0
  ↳ 2026-04-08 05:25 | 160      | 4.8      | 5.1      | 2.0           | 1            | 0
  ↳ 2026-04-08 05:26 | 135      | 4.9      | 5.1      | 5.8 ⚠️        | 3            | 0
  ↳ 2026-04-08 05:27 | 141      | 4.9      | 5.1      | 3.4           | 5            | 0
  ↳ 2026-04-08 05:28 | 129      | 2.5      | 5.1      | 3.4           | 1            | 0
  ↳ 2026-04-08 05:29 | 132      | 2.5      | 5.1      | 2.4           | 2            | 0
2026-04-08 05:30   | 951      | 4.9      | 5.1      | 2.8           | 1            | 0
2026-04-08 05:35   | 897      | 4.9      | 5.1      | 2.0           | 2            | 0
2026-04-08 05:40   | 884      | 4.9      | 5.2      | 2.6           | 3            | 0
2026-04-08 05:45   | 844      | 4.9      | 5.1      | 2.0           | 2            | 0
2026-04-08 05:50   | 837      | 4.9      | 5.1      | 3.6           | 6            | 0
2026-04-08 05:55   | 921      | 4.9      | 5.2      | 2.0           | 2            | 0
2026-04-08 06:00   | 801      | 4.9      | 5.1      | 3.0           | 3            | 0
2026-04-08 06:05   | 762      | 4.9      | 5.1      | 3.0           | 4            | 0
2026-04-08 06:10   | 766      | 4.9      | 5.1      | 2.8           | 7            | 0
2026-04-08 06:15   | 720      | 4.9      | 5.1      | 2.8           | 6            | 0
2026-04-08 06:20   | 788      | 4.9      | 5.1      | 5.0 ⚠️        | 8            | 0
  ↳ 2026-04-08 06:20 | 162      | 4.9      | 5.1      | 1.8           | 0            | 0
  ↳ 2026-04-08 06:21 | 174      | 4.8      | 5.2      | 1.8           | 0            | 0
  ↳ 2026-04-08 06:22 | 164      | 4.8      | 5.2      | 2.4           | 2            | 0
  ↳ 2026-04-08 06:23 | 143      | 4.9      | 5.1      | 2.6           | 5            | 0
  ↳ 2026-04-08 06:24 | 145      | 4.9      | 5.1      | 5.0 ⚠️        | 1            | 0
2026-04-08 06:25   | 846      | 4.9      | 5.2      | 2.4           | 4            | 0
2026-04-08 06:30   | 728      | 4.8      | 5.1      | 3.4           | 7            | 0
2026-04-08 06:35   | 574      | 2.5      | 5.1      | 4.4           | 14           | 0
2026-04-08 06:40   | 629      | 4.8      | 5.1      | 2.8           | 16           | 0
2026-04-08 06:45   | 592      | 4.8      | 5.1      | 7.8 ⚠️        | 14           | 0
  ↳ 2026-04-08 06:45 | 122      | 3.6      | 5.1      | 2.8           | 1            | 0
  ↳ 2026-04-08 06:46 | 154      | 4.9      | 5.1      | 1.6           | 0            | 0
  ↳ 2026-04-08 06:47 | 128      | 4.8      | 5.1      | 2.2           | 2            | 0
  ↳ 2026-04-08 06:48 | 84       | 2.5      | 5.0      | 4.4           | 7            | 0
  ↳ 2026-04-08 06:49 | 104      | 4.8      | 5.1      | 7.8 ⚠️        | 4            | 0
2026-04-08 06:50   | 593      | 4.8      | 5.1      | 8.0 ⚠️        | 14           | 0
  ↳ 2026-04-08 06:50 | 111      | 2.5      | 5.1      | 3.2           | 3            | 0
  ↳ 2026-04-08 06:51 | 162      | 4.9      | 5.1      | 1.8           | 0            | 0
  ↳ 2026-04-08 06:52 | 125      | 4.9      | 5.0      | 2.4           | 3            | 0
  ↳ 2026-04-08 06:53 | 113      | 4.7      | 5.1      | 2.4           | 5            | 0
  ↳ 2026-04-08 06:54 | 82       | 2.5      | 5.0      | 8.0 ⚠️        | 3            | 0
2026-04-08 06:55   | 619      | 4.9      | 5.1      | 3.6           | 19           | 0
2026-04-08 07:00   | 652      | 4.9      | 5.1      | 4.6           | 11           | 0
2026-04-08 07:05   | 590      | 4.8      | 5.1      | 5.2 ⚠️        | 15           | 0
  ↳ 2026-04-08 07:05 | 121      | 3.6      | 5.1      | 2.4           | 4            | 0
  ↳ 2026-04-08 07:06 | 103      | 4.8      | 5.1      | 5.2 ⚠️        | 6            | 0
  ↳ 2026-04-08 07:07 | 118      | 4.9      | 5.1      | 5.0 ⚠️        | 3            | 0
  ↳ 2026-04-08 07:08 | 127      | 4.8      | 5.0      | 2.4           | 1            | 0
  ↳ 2026-04-08 07:09 | 121      | 4.7      | 5.1      | 4.6           | 1            | 0
2026-04-08 07:10   | 695      | 4.8      | 5.1      | 5.4 ⚠️        | 7            | 0
  ↳ 2026-04-08 07:10 | 161      | 4.9      | 5.1      | 2.6           | 1            | 0
  ↳ 2026-04-08 07:11 | 151      | 4.9      | 5.2      | 3.0           | 1            | 0
  ↳ 2026-04-08 07:12 | 106      | 2.5      | 5.1      | 5.4 ⚠️        | 2            | 0
  ↳ 2026-04-08 07:13 | 147      | 4.7      | 5.1      | 1.2           | 0            | 0
  ↳ 2026-04-08 07:14 | 130      | 4.9      | 5.1      | 5.4 ⚠️        | 3            | 0
2026-04-08 07:15   | 660      | 4.9      | 5.1      | 8.4 ⚠️        | 12           | 0
  ↳ 2026-04-08 07:15 | 118      | 4.9      | 5.1      | 4.0           | 3            | 0
