Time,Open,High,Low,Close,Volume
2025.12.12 00:05:00,155.556,155.57,155.536,155.536,18
2025.12.12 00:06:00,155.536,155.559,155.525,155.535,54
2025.12.12 00:07:00,155.529,155.535,155.516,155.523,16
2025.12.12 00:08:00,155.523,155.557,155.517,155.536,10
2025.12.12 00:09:00,155.549,155.551,155.53,155.547,24
2025.12.12 00:10:00,155.54,155.56,155.536,155.537,20
2025.12.12 00:11:00,155.537,155.553,155.528,155.545,21
2025.12.12 00:12:00,155.545,155.559,155.537,155.54,22
2025.12.12 00:13:00,155.54,155.546,155.538,155.541,15
2025.12.12 00:14:00,155.541,155.557,155.528,155.557,27
2025.12.12 00:15:00,155.547,155.556,155.531,155.534,9
2025.12.12 00:16:00,155.534,155.565,155.533,155.565,15
2025.12.12 00:17:00,155.55,155.552,155.531,155.531,13
2025.12.12 00:18:00,155.529,155.531,155.529,155.531,7
2025.12.12 00:19:00,155.531,155.531,155.529,155.529,3
2025.12.12 00:20:00,155.529,155.529,155.529,155.529,1
2025.12.12 00:21:00,155.529,155.53,155.527,155.527,4
2025.12.12 00:22:00,155.527,155.552,155.522,155.552,6
2025.12.12 00:23:00,155.552,155.559,155.55,155.559,4
2025.12.12 00:24:00,155.551,155.559,155.548,155.548,5
2025.12.12 00:25:00,155.561,155.563,155.548,155.563,14
2025.12.12 00:26:00,155.563,155.563,155.556,155.563,3
2025.12.12 00:27:00,155.554,155.554,155.554,155.554,1
2025.12.12 00:28:00,155.554,155.554,155.554,155.554,1
2025.12.12 00:29:00,155.554,155.554,155.537,155.542,10
2025.12.12 00:30:00,155.542,155.546,155.542,155.546,3
2025.12.12 00:31:00,155.553,155.553,155.543,155.543,7
2025.12.12 00:32:00,155.543,155.543,155.543,155.543,1
2025.12.12 00:33:00,155.547,155.547,155.543,155.543,4
2025.12.12 00:34:00,155.543,155.547,155.528,155.535,7
2025.12.12 00:35:00,155.535,155.558,155.535,155.556,10
2025.12.12 00:36:00,155.536,155.556,155.528,155.528,7
2025.12.12 00:37:00,155.528,155.528,155.528,155.528,1
2025.12.12 00:38:00,155.528,155.532,155.527,155.532,5
2025.12.12 00:39:00,155.533,155.551,155.528,155.528,10
2025.12.12 00:40:00,155.528,155.528,155.524,155.524,6
2025.12.12 00:41:00,155.526,155.528,155.524,155.524,7
2025.12.12 00:42:00,155.524,155.532,155.522,155.522,5
2025.12.12 00:43:00,155.522,155.529,155.522,155.529,6
2025.12.12 00:44:00,155.529,155.533,155.523,155.524,7
2025.12.12 00:45:00,155.524,155.53,155.521,155.521,9
2025.12.12 00:46:00,155.521,155.527,155.52,155.526,8
2025.12.12 00:47:00,155.525,155.525,155.503,155.511,29
2025.12.12 00:48:00,155.514,155.53,155.514,155.528,18
2025.12.12 00:49:00,155.527,155.529,155.523,155.528,10
2025.12.12 00:50:00,155.528,155.53,155.525,155.53,8
2025.12.12 00:51:00,155.533,155.542,155.53,155.532,10
2025.12.12 00:52:00,155.538,155.538,155.53,155.533,4
2025.12.12 00:53:00,155.533,155.537,155.529,155.537,3
2025.12.12 00:54:00,155.533,155.533,155.531,155.531,3
2025.12.12 00:55:00,155.532,155.532,155.529,155.53,5
2025.12.12 00:56:00,155.53,155.538,155.53,155.538,15
2025.12.12 00:57:00,155.538,155.538,155.521,155.528,9
2025.12.12 00:58:00,155.528,155.53,155.519,155.521,9
2025.12.12 00:59:00,155.524,155.53,155.524,155.53,3
2025.12.12 01:00:00,155.525,155.529,155.517,155.522,28
2025.12.12 01:01:00,155.522,155.531,155.516,155.519,20
2025.12.12 01:02:00,155.519,155.521,155.517,155.518,7
2025.12.12 01:03:00,155.519,155.523,155.516,155.52,18
2025.12.12 01:04:00,155.52,155.52,155.517,155.517,6
2025.12.12 01:05:00,155.517,155.521,155.512,155.517,18
2025.12.12 01:06:00,155.515,155.526,155.515,155.517,7
2025.12.12 01:07:00,155.517,155.519,155.516,155.517,12
2025.12.12 01:08:00,155.518,155.518,155.499,155.499,17
2025.12.12 01:09:00,155.502,155.503,155.49,155.491,15
2025.12.12 01:10:00,155.49,155.492,155.464,155.472,54
2025.12.12 01:11:00,155.472,155.473,155.448,155.468,34
2025.12.12 01:12:00,155.468,155.506,155.468,155.506,35
2025.12.12 01:13:00,155.508,155.549,155.505,155.543,40
2025.12.12 01:14:00,155.542,155.542,155.528,155.533,36
2025.12.12 01:15:00,155.532,155.558,155.532,155.554,29
2025.12.12 01:16:00,155.553,155.553,155.552,155.553,5
2025.12.12 01:17:00,155.549,155.567,155.549,155.558,12
2025.12.12 01:18:00,155.558,155.558,155.548,155.548,17
2025.12.12 01:19:00,155.548,155.55,155.542,155.542,8
2025.12.12 01:20:00,155.541,155.544,155.537,155.544,23
2025.12.12 01:21:00,155.543,155.543,155.53,155.531,16
2025.12.12 01:22:00,155.53,155.531,155.52,155.52,7
2025.12.12 01:23:00,155.52,155.54,155.52,155.538,11
2025.12.12 01:24:00,155.538,155.558,155.538,155.542,31
2025.12.12 01:25:00,155.542,155.542,155.532,155.537,26
2025.12.12 01:26:00,155.537,155.538,155.526,155.527,36
2025.12.12 01:27:00,155.527,155.527,155.519,155.526,16
2025.12.12 01:28:00,155.525,155.526,155.514,155.516,16
2025.12.12 01:29:00,155.516,155.516,155.51,155.512,12
2025.12.12 01:30:00,155.512,155.539,155.512,155.539,26
2025.12.12 01:31:00,155.539,155.581,155.539,155.58,60
2025.12.12 01:32:00,155.58,155.591,155.573,155.574,30
2025.12.12 01:33:00,155.574,155.588,155.561,155.573,36
2025.12.12 01:34:00,155.57,155.615,155.559,155.613,49
2025.12.12 01:35:00,155.613,155.615,155.59,155.593,29
2025.12.12 01:36:00,155.592,155.614,155.59,155.612,53
2025.12.12 01:37:00,155.611,155.615,155.593,155.601,66
2025.12.12 01:38:00,155.601,155.605,155.597,155.602,89
2025.12.12 01:39:00,155.602,155.609,155.594,155.608,87
2025.12.12 01:40:00,155.604,155.609,155.593,155.6,46
2025.12.12 01:41:00,155.592,155.592,155.577,155.579,14
2025.12.12 01:42:00,155.579,155.589,155.576,155.587,26
2025.12.12 01:43:00,155.587,155.601,155.577,155.6,36
2025.12.12 01:44:00,155.6,155.6,155.583,155.586,23
2025.12.12 01:45:00,155.586,155.587,155.563,155.569,72
2025.12.12 01:46:00,155.569,155.569,155.552,155.554,62
2025.12.12 01:47:00,155.554,155.559,155.541,155.559,38
2025.12.12 01:48:00,155.565,155.576,155.557,155.576,23
2025.12.12 01:49:00,155.576,155.579,155.551,155.551,16
2025.12.12 01:50:00,155.551,155.557,155.551,155.553,22
2025.12.12 01:51:00,155.553,155.558,155.55,155.557,28
2025.12.12 01:52:00,155.557,155.557,155.54,155.554,27
2025.12.12 01:53:00,155.554,155.566,155.547,155.563,21
2025.12.12 01:54:00,155.563,155.563,155.551,155.554,13
2025.12.12 01:55:00,155.554,155.568,155.552,155.568,19
2025.12.12 01:56:00,155.568,155.57,155.567,155.57,13
2025.12.12 01:57:00,155.569,155.578,155.567,155.572,45
2025.12.12 01:58:00,155.573,155.573,155.526,155.527,57
2025.12.12 01:59:00,155.527,155.532,155.497,155.501,56
2025.12.12 02:00:00,155.502,155.502,155.452,155.468,136
2025.12.12 02:01:00,155.468,155.495,155.46,155.46,85
2025.12.12 02:02:00,155.46,155.576,155.46,155.573,102
2025.12.12 02:03:00,155.571,155.574,155.527,155.528,78
2025.12.12 02:04:00,155.528,155.53,155.504,155.526,88
2025.12.12 02:05:00,155.529,155.561,155.515,155.561,88
2025.12.12 02:06:00,155.563,155.563,155.511,155.512,76
2025.12.12 02:07:00,155.512,155.551,155.505,155.546,58
2025.12.12 02:08:00,155.545,155.58,155.545,155.57,67
2025.12.12 02:09:00,155.571,155.573,155.54,155.573,66
2025.12.12 02:10:00,155.572,155.589,155.555,155.586,63
2025.12.12 02:11:00,155.587,155.591,155.557,155.563,46
2025.12.12 02:12:00,155.563,155.563,155.552,155.555,41
2025.12.12 02:13:00,155.555,155.584,155.542,155.542,43
2025.12.12 02:14:00,155.542,155.545,155.537,155.545,38
2025.12.12 02:15:00,155.544,155.568,155.53,155.566,49
2025.12.12 02:16:00,155.566,155.579,155.558,155.575,50
2025.12.12 02:17:00,155.574,155.616,155.574,155.602,47
2025.12.12 02:18:00,155.602,155.62,155.594,155.616,38
2025.12.12 02:19:00,155.616,155.642,155.615,155.634,41
2025.12.12 02:20:00,155.634,155.676,155.626,155.676,47
2025.12.12 02:21:00,155.674,155.674,155.647,155.652,66
2025.12.12 02:22:00,155.651,155.662,155.637,155.662,62
2025.12.12 02:23:00,155.662,155.662,155.634,155.652,70
2025.12.12 02:24:00,155.652,155.658,155.646,155.653,60
2025.12.12 02:25:00,155.651,155.67,155.643,155.645,60
2025.12.12 02:26:00,155.645,155.645,155.625,155.637,57
2025.12.12 02:27:00,155.639,155.661,155.638,155.659,46
2025.12.12 02:28:00,155.659,155.674,155.639,155.639,57
2025.12.12 02:29:00,155.639,155.66,155.637,155.66,70
2025.12.12 02:30:00,155.66,155.679,155.637,155.677,77
