Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_ROC,Flow_Delta,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.06 17:42:51.112,112,IDLE,0,STABLE,4941.46000,4941.81000,35.0,0,0,4942.96000,4943.77000,4941.42000,4941.46000,35.51,0.00000,0.00000,-6.58987,-11.21,31.92,-24.37,20.05,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:51.311,311,IDLE,0,STABLE,4941.51000,4941.86000,35.0,0,200,4942.96000,4943.77000,4941.42000,4941.51000,35.59,0.00000,0.00000,-6.54701,-11.16,32.27,-23.95,21.22,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:51.493,493,IDLE,0,STABLE,4941.48000,4941.83000,35.0,100,100,4942.96000,4943.77000,4941.42000,4941.48000,35.54,0.00000,0.00000,-6.57273,-11.19,31.91,-23.53,20.25,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:51.672,672,IDLE,0,STABLE,4941.55000,4941.93000,35.8,0,0,4942.96000,4943.77000,4941.42000,4941.55000,35.66,0.00000,0.00000,-6.51273,-11.12,32.45,-23.11,21.98,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:52.910,910,IDLE,0,STABLE,4941.54000,4941.89000,35.6,100,100,4942.96000,4943.77000,4941.42000,4941.54000,35.64,0.00000,0.00000,-6.52130,-11.13,32.27,-22.69,21.56,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:52.497,497,IDLE,0,STABLE,4941.43000,4941.78000,35.5,0,0,4942.96000,4943.77000,4941.42000,4941.43000,35.46,0.99602,0.99602,-6.61558,-11.24,31.18,-22.27,18.39,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:52.694,694,IDLE,0,STABLE,4941.14000,4941.49000,35.4,100,100,4942.96000,4943.77000,4941.14000,4941.14000,34.99,9.10571,8.10969,-6.86415,-11.53,30.99,-21.85,17.95,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:53.968,968,IDLE,0,STABLE,4941.17000,4941.52000,35.4,0,0,4942.96000,4943.77000,4941.14000,4941.17000,35.04,14.27890,5.17319,-6.83844,-11.50,31.14,-21.43,18.51,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:53.172,172,IDLE,0,STABLE,4941.34000,4941.73000,35.8,0,0,4942.96000,4943.77000,4941.14000,4941.34000,35.31,14.27347,-0.00542,-6.69273,-11.33,32.45,-21.01,22.56,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:53.333,333,IDLE,0,STABLE,4941.35000,4941.74000,36.1,100,100,4942.96000,4943.77000,4941.14000,4941.35000,35.33,13.80810,-0.46538,-6.68415,-11.32,32.45,-20.59,22.67,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:53.535,535,IDLE,0,STABLE,4941.37000,4941.72000,36.0,100,100,4942.96000,4943.77000,4941.14000,4941.37000,35.36,12.20255,-1.60555,-6.66701,-11.30,32.53,-20.17,23.02,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:53.813,813,IDLE,0,STABLE,4941.35000,4941.70000,35.9,0,0,4942.96000,4943.77000,4941.14000,4941.35000,35.33,13.51875,1.31620,-6.68415,-11.32,32.27,-19.75,22.37,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:54.963,963,IDLE,0,STABLE,4941.36000,4941.71000,35.8,100,100,4942.96000,4943.77000,4941.14000,4941.36000,35.35,14.28503,0.76628,-6.67558,-11.31,32.27,-19.33,22.48,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:54.339,339,IDLE,0,STABLE,4941.37000,4941.72000,35.8,100,100,4942.96000,4943.77000,4941.14000,4941.37000,35.36,11.42802,-2.85701,-6.66701,-11.30,32.27,-18.91,22.59,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:54.529,529,IDLE,0,STABLE,4941.26000,4941.61000,35.7,100,100,4942.96000,4943.77000,4941.14000,4941.26000,35.18,10.98188,-0.44614,-6.76130,-11.41,31.25,-18.49,19.63,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:54.771,771,IDLE,0,STABLE,4941.15000,4941.50000,35.7,100,100,4942.96000,4943.77000,4941.14000,4941.15000,35.01,12.34250,1.36062,-6.85558,-11.52,30.21,-18.07,16.64,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:55.981,981,IDLE,0,STABLE,4941.16000,4941.52000,35.7,100,100,4942.96000,4943.77000,4941.14000,4941.16000,35.02,13.70504,1.36254,-6.84701,-11.51,30.20,-17.65,16.73,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:55.494,494,IDLE,0,STABLE,4940.96000,4941.31000,35.7,100,300,4942.96000,4943.77000,4940.96000,4940.96000,34.70,18.06360,4.35856,-7.01844,-11.71,29.94,-17.23,16.04,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.06 17:42:55.709,709,IDLE,0,STABLE,4940.78000,4941.17000,35.8,0,0,4942.96000,4943.77000,4940.78000,4940.78000,34.42,22.24749,4.18389,-7.17273,-11.89,29.84,-16.81,15.86,247916550.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
