TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
5330472,1.16383,1.16390,0.00000,0.00000,7.0,750000,1000000,110200000,0,0,250000,500000,10000000,0,0
5330856,1.16383,1.16390,0.00000,0.00000,7.0,750000,1500000,20200000,0,0,250000,500000,10200000,0,0
5331374,1.16385,1.16392,0.00000,0.00000,7.0,500000,250000,20000000,0,0,500000,1010000,100000,0,0
5331590,1.16383,1.16390,0.00000,0.00000,7.0,250000,1000000,110200000,0,0,250000,500000,20200000,0,0
5331831,1.16383,1.16390,0.00000,0.00000,7.0,250000,1000000,110200000,0,0,250000,500000,20000000,0,0
5333583,1.16385,1.16392,0.00000,0.00000,7.0,500000,250000,20000000,0,0,500000,1000000,140000,0,0
5333919,1.16383,1.16390,0.00000,0.00000,7.0,250000,1000000,110200000,0,0,250000,500000,20000000,0,0
5334072,1.16383,1.16390,0.00000,0.00000,7.0,1250000,5010000,10000000,0,0,250000,500000,20000000,0,0
5334255,1.16383,1.16390,0.00000,0.00000,7.0,250000,1000000,110200000,0,0,250000,500000,20000000,0,0
5334597,1.16386,1.16392,0.09872,0.09872,6.8,500000,250000,20000000,0,0,500000,1000000,200000,0,0
5334942,1.16383,1.16390,0.07897,-0.01974,6.9,250000,1000000,10200000,0,0,250000,500000,20000000,0,0
5335457,1.16383,1.16390,0.07897,-0.01974,6.9,1250000,5010000,10000000,0,0,250000,500000,20000000,0,0
5335796,1.16386,1.16392,0.06318,-0.01579,6.7,500000,1250000,100200000,0,0,500000,1000000,280000,0,0
5335955,1.16385,1.16392,0.44698,0.38380,6.8,500000,250000,20000000,0,0,500000,1000000,280000,0,0
5336589,1.16388,1.16395,0.96548,0.51851,6.8,500000,1250000,100000000,0,0,500000,1000000,320000,0,0
5336997,1.16388,1.16395,0.96548,0.51851,6.8,500000,250000,20000000,0,0,500000,1000000,360000,0,0
5337493,1.16388,1.16395,0.96548,0.51851,6.8,500000,250000,20000000,0,0,500000,1000000,380000,0,0
5337972,1.16386,1.16393,1.06203,0.09655,6.8,250000,1000000,110200000,0,0,250000,500000,20000000,0,0
5338693,1.16388,1.16395,0.84963,-0.21241,6.8,500000,250000,20000000,0,0,500000,1000000,460000,0,0
5339363,1.16388,1.16395,0.84963,-0.21241,6.8,500000,250000,20000000,0,0,500000,1000000,500000,0,0
5339812,1.16386,1.16393,1.03716,0.18754,6.8,250000,1000000,110200000,0,0,250000,500000,20000000,0,0
5340153,1.16388,1.16395,0.82973,-0.20743,6.9,500000,250000,20000000,0,0,500000,1028000,200000,0,0
5341165,1.16388,1.16395,0.82973,-0.20743,6.9,500000,250000,20000000,0,0,500000,1031000,20200000,0,0
5341336,1.16385,1.16392,1.17097,0.34124,6.9,750000,500000,40000000,0,0,250000,531000,20000000,0,0
5341561,1.16386,1.16393,1.22087,0.04990,6.9,500000,250000,20000000,0,0,500000,1032000,20200000,0,0
5341738,1.16385,1.16391,1.41833,0.19747,6.8,500000,250000,30000000,0,0,250000,533000,20000000,0,0
5342031,1.16386,1.16393,1.34766,-0.07067,6.8,500000,250000,20000000,0,0,500000,1034000,20200000,0,0
5342312,1.16384,1.16391,1.44867,0.10101,6.8,250000,1000000,110200000,0,0,250000,500000,20700000,0,0
5342469,1.16384,1.16391,1.44867,0.10101,6.8,750000,1500000,20200000,0,0,250000,536000,20000000,0,0
5343374,1.16385,1.16391,1.25310,-0.19557,6.8,500000,250000,30000000,0,0,250000,500000,20780000,0,0
5344366,1.16385,1.16391,1.25310,-0.19557,6.8,500000,250000,30000000,0,0,250000,500000,20840000,0,0
5344765,1.16384,1.16391,1.07421,-0.17888,6.8,750000,1500000,120200000,0,0,250000,500000,20860000,0,0
5345260,1.16385,1.16391,0.85937,-0.21484,6.8,500000,250000,30000000,0,0,250000,500000,20000000,0,0
5345550,1.16384,1.16391,0.73352,-0.12585,6.8,750000,500000,40200000,0,0,250000,500000,20900000,0,0
5345794,1.16385,1.16391,0.68622,-0.04730,6.7,500000,250000,30000000,0,0,250000,500000,20000000,0,0
5346092,1.16384,1.16391,0.54897,-0.13724,6.8,750000,500000,40200000,0,0,250000,500000,20940000,0,0
5346532,1.16385,1.16391,0.43918,-0.10979,6.7,500000,250000,30000000,0,0,250000,500000,20000000,0,0
5347393,1.16385,1.16391,0.43918,-0.10979,6.7,500000,250000,30000000,0,0,247000,500000,20000000,0,0
5347691,1.16384,1.16391,0.43770,-0.00148,6.7,750000,500000,40200000,0,0,247000,553000,20000000,0,0
5347936,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,120200000,0,0,250000,500000,21060000,0,0
5348445,1.16384,1.16391,0.43770,-0.00148,6.7,750000,500000,40200000,0,0,250000,555000,20000000,0,0
5348669,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,556000,20000000,0,0
5349618,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,559000,20000000,0,0
5350575,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,562000,20000000,0,0
5351574,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,565000,20000000,0,0
5352570,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,568000,20000000,0,0
5353568,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,571000,20000000,0,0
5354370,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,574000,20000000,0,0
5355361,1.16384,1.16391,0.43770,-0.00148,6.7,750000,1500000,20200000,0,0,250000,577000,20000000,0,0
5356373,1.16384,1.16391,0.35016,-0.08754,6.7,750000,1500000,20200000,0,0,250000,581000,20200000,0,0
5356973,1.16384,1.16390,0.29090,-0.05926,6.7,499000,250000,20000000,0,0,250000,582000,20200000,0,0
5357927,1.16384,1.16390,0.29090,-0.05926,6.7,500000,250000,20000000,0,0,249000,586000,20200000,0,0
5358929,1.16384,1.16390,0.29090,-0.05926,6.7,500000,250000,20000000,0,0,250000,589000,20200000,0,0
5359836,1.16384,1.16390,0.29090,-0.05926,6.7,500000,250000,20000000,0,0,250000,593000,20200000,0,0
5360769,1.16384,1.16390,0.29090,-0.05926,6.7,500000,250000,20000000,0,0,250000,596000,20200000,0,0
5361565,1.16384,1.16390,0.29090,-0.05926,6.7,500000,250000,20000000,0,0,250000,599000,20200000,0,0
5362436,1.16384,1.16390,0.29090,-0.05926,6.7,500000,250000,20000000,0,0,250000,602000,20200000,0,0
5363201,1.16383,1.16390,0.24877,-0.04213,6.7,750000,1510000,20000000,0,0,250000,104000,10000000,0,0
5363526,1.16384,1.16390,0.19902,-0.04975,6.7,500000,250000,20000000,0,0,250000,606000,20200000,0,0
5364463,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,609000,40200000,0,0
5365277,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1510000,20000000,0,0,250000,111000,10000000,0,0
5366081,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1510000,20000000,0,0,250000,114000,10000000,0,0
5367169,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1510000,20000000,0,0,250000,118000,10000000,0,0
5368068,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1510000,20000000,0,0,250000,121000,10000000,0,0
5369092,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1510000,20000000,0,0,250000,124000,10000000,0,0
5369964,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,627000,40200000,0,0
5370816,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,629000,40000000,0,0
5371764,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,633000,40200000,0,0
5372571,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,636000,40200000,0,0
5373574,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,639000,40200000,0,0
5374586,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,643000,40200000,0,0
5375858,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,647000,40200000,0,0
5376767,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,650000,40200000,0,0
5377763,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,653000,40200000,0,0
5378573,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,656000,40200000,0,0
5379570,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,660000,40200000,0,0
5380379,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,662000,40200000,0,0
5381245,1.16383,1.16390,0.15921,-0.03980,6.7,750000,1000000,110200000,0,0,250000,665000,40200000,0,0
5381465,1.16384,1.16390,0.13325,-0.02596,6.7,500000,250000,20000000,0,0,250000,666000,20200000,0,0
5382359,1.16384,1.16390,0.13325,-0.02596,6.7,500000,250000,20000000,0,0,250000,669000,20200000,0,0
5383002,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,671000,40200000,0,0
5384073,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,675000,40200000,0,0
5384993,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,679000,40200000,0,0
5385798,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,681000,40200000,0,0
5386795,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,685000,40200000,0,0
5387974,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,689000,40200000,0,0
5388989,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,693000,40200000,0,0
5390158,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,697000,40200000,0,0
5390982,1.16383,1.16390,0.17179,0.03854,6.7,750000,1000000,110200000,0,0,250000,700000,40200000,0,0
5391414,1.16384,1.16390,0.14934,-0.02245,6.7,500000,1250000,100000000,0,0,250000,701000,40200000,0,0
5392373,1.16383,1.16390,0.11947,-0.02987,6.7,750000,1000000,110200000,0,0,250000,705000,40200000,0,0
5393168,1.16383,1.16390,0.11947,-0.02987,6.7,750000,1000000,110200000,0,0,250000,707000,40200000,0,0
5394115,1.16383,1.16390,0.11947,-0.02987,6.7,750000,1000000,110200000,0,0,250000,211000,30000000,0,0
5395018,1.16383,1.16390,0.11947,-0.02987,6.7,750000,1000000,110200000,0,0,250000,214000,30000000,0,0
5395857,1.16383,1.16390,0.11947,-0.02987,6.7,750000,1000000,110200000,0,0,250000,216000,30000000,0,0
5396331,1.16384,1.16390,0.12083,0.00136,6.7,500000,1250000,100000000,0,0,250000,718000,40200000,0,0
5396568,1.16384,1.16391,0.14431,0.02348,6.7,750000,1000000,110200000,0,0,250000,500000,24380000,0,0
5396805,1.16385,1.16391,0.18329,0.03898,6.7,500000,1250000,100000000,0,0,250000,720000,40200000,0,0
5396943,1.16384,1.16391,0.19037,0.00708,6.7,250000,500000,30000000,0,0,250000,220000,30200000,0,0
5397144,1.16384,1.16391,0.19037,0.00708,6.7,750000,1000000,110200000,0,0,250000,721000,40200000,0,0
5397465,1.16384,1.16391,0.19037,0.00708,6.7,750000,1000000,110200000,0,0,250000,722000,40200000,0,0
5398276,1.16384,1.16391,0.19037,0.00708,6.7,740000,1000000,110200000,0,0,250000,225000,30000000,0,0
5398725,1.16385,1.16391,0.20841,0.01804,6.7,500000,1250000,100000000,0,0,250000,727000,40200000,0,0
5399740,1.16384,1.16391,0.26574,0.05733,6.7,750000,1000000,110200000,0,0,250000,231000,30000000,0,0
5400637,1.16384,1.16391,0.26574,0.05733,6.7,750000,1000000,110200000,0,0,250000,734000,40200000,0,0
5401483,1.16384,1.16391,0.26574,0.05733,6.7,750000,1000000,110200000,0,0,250000,736000,40200000,0,0
5402407,1.16384,1.16391,0.26574,0.05733,6.7,750000,1000000,110200000,0,0,250000,740000,40200000,0,0
5403253,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,242000,10200000,0,0
5404039,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,245000,10200000,0,0
5404956,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,248000,10200000,0,0
5405823,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,250000,10200000,0,0
5406681,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,253000,10200000,0,0
5407766,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,257000,30200000,0,0
5408639,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,259000,30200000,0,0
5409573,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,263000,30200000,0,0
5410570,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,266000,30200000,0,0
5411467,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,269000,10200000,0,0
5412377,1.16384,1.16391,0.26574,0.05733,6.7,750000,1500000,20200000,0,0,250000,272000,10200000,0,0
5413302,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,776000,40200000,0,0
5414334,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,778000,40200000,0,0
5415367,1.16384,1.16391,0.26574,0.05733,6.7,250000,500000,30000000,0,0,250000,783000,40200000,0,0
5415856,1.16383,1.16390,0.22500,-0.04074,6.7,750000,1510000,20000000,0,0,250000,284000,10000000,0,0
5416655,1.16383,1.16390,0.22500,-0.04074,6.7,750000,1000000,110200000,0,0,250000,787000,40200000,0,0
5417473,1.16383,1.16390,0.22500,-0.04074,6.7,250000,500000,30000000,0,0,250000,290000,30200000,0,0
5418368,1.16383,1.16390,0.22500,-0.04074,6.7,250000,500000,30000000,0,0,250000,293000,30200000,0,0
5419375,1.16383,1.16390,0.22500,-0.04074,6.7,250000,500000,30000000,0,0,250000,796000,40200000,0,0
5420197,1.16383,1.16390,0.22500,-0.04074,6.7,250000,500000,30000000,0,0,250000,299000,30200000,0,0
5421200,1.16383,1.16390,0.22500,-0.04074,6.7,750000,1500000,20200000,0,0,250000,303000,10200000,0,0
5421359,1.16381,1.16388,0.25276,0.02777,6.7,750000,1510000,20000000,0,0,250000,803000,40200000,0,0
5421557,1.16381,1.16387,0.29001,0.03724,6.7,500000,1250000,100200000,0,0,250000,500000,26080000,0,0
5422369,1.16381,1.16387,0.29001,0.03724,6.7,500000,1250000,100200000,0,0,250000,500000,6120000,0,0
5423268,1.16381,1.16387,0.29001,0.03724,6.7,500000,250000,20000000,0,0,250000,810000,200000,0,0
5423488,1.16381,1.16388,0.28379,-0.00621,6.7,500000,1250000,100200000,0,0,250000,811000,40200000,0,0
5424314,1.16381,1.16388,0.28379,-0.00621,6.7,500000,1250000,100200000,0,0,250000,813000,40200000,0,0
5425313,1.16381,1.16388,0.28379,-0.00621,6.7,500000,1250000,100200000,0,0,250000,817000,40200000,0,0
5426404,1.16381,1.16388,0.28379,-0.00621,6.7,750000,1000000,110200000,0,0,250000,822000,40200000,0,0
5427266,1.16381,1.16388,0.28379,-0.00621,6.7,750000,1000000,110200000,0,0,250000,824000,40200000,0,0
5427640,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110000000,0,0,250000,825000,40200000,0,0
5428583,1.16383,1.16390,0.32314,0.03935,6.7,250000,500000,30000000,0,0,250000,829000,40200000,0,0
5429380,1.16383,1.16390,0.32314,0.03935,6.7,750000,1500000,20200000,0,0,250000,831000,20200000,0,0
5430322,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110200000,0,0,250000,834000,40200000,0,0
5431181,1.16383,1.16390,0.32314,0.03935,6.7,750000,1510000,20000000,0,0,250000,336000,10000000,0,0
5432163,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110200000,0,0,250000,840000,40200000,0,0
5432986,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110200000,0,0,250000,843000,40200000,0,0
5434067,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110200000,0,0,250000,847000,40200000,0,0
5434954,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110200000,0,0,250000,849000,40200000,0,0
5435811,1.16383,1.16390,0.32314,0.03935,6.7,750000,1510000,20000000,0,0,250000,352000,10000000,0,0
5436647,1.16383,1.16390,0.32314,0.03935,6.7,750000,1000000,110200000,0,0,250000,855000,40200000,0,0
5436890,1.16385,1.16392,0.30178,-0.02136,6.7,500000,1000000,105000000,0,0,500000,1356000,20200000,0,0
5437056,1.16384,1.16390,0.25205,-0.04973,6.7,500000,1250000,100200000,0,0,250000,857000,40000000,0,0
5437949,1.16384,1.16391,0.39121,0.13916,6.7,250000,500000,30000000,0,0,250000,359000,30200000,0,0
5438771,1.16384,1.16391,0.39121,0.13916,6.7,750000,1000000,110200000,0,0,250000,863000,40200000,0,0
5439588,1.16384,1.16391,0.39121,0.13916,6.7,750000,1000000,110200000,0,0,250000,865000,40200000,0,0
5440397,1.16384,1.16391,0.39121,0.13916,6.7,750000,1000000,110200000,0,0,250000,868000,40200000,0,0
5441183,1.16384,1.16391,0.39121,0.13916,6.7,750000,1000000,110200000,0,0,250000,871000,40200000,0,0
5442091,1.16384,1.16391,0.39121,0.13916,6.7,750000,1000000,110200000,0,0,250000,874000,40200000,0,0
5442835,1.16383,1.16390,0.35386,-0.03735,6.7,750000,1000000,110200000,0,0,250000,376000,30000000,0,0
5443704,1.16383,1.16390,0.35386,-0.03735,6.7,750000,1000000,110200000,0,0,250000,878000,40200000,0,0
5443909,1.16383,1.16390,0.35386,-0.03735,6.7,1250000,5010000,10000000,0,0,250000,500000,27560000,0,0
5444079,1.16384,1.16390,0.36335,0.00948,6.7,500000,250000,20000000,0,0,250000,880000,200000,0,0
5445000,1.16384,1.16391,0.38310,0.01975,6.7,500000,250000,20000000,0,0,250000,383000,10200000,0,0
5446123,1.16384,1.16391,0.38310,0.01975,6.7,500000,250000,20000000,0,0,250000,386000,10200000,0,0
5447200,1.16384,1.16391,0.38310,0.01975,6.7,500000,250000,20000000,0,0,250000,390000,10200000,0,0
5447505,1.16383,1.16391,0.34640,-0.03670,6.7,750000,1510000,20000000,0,0,640000,1510000,20000000,0,0
5447916,1.16384,1.16391,0.27712,-0.06928,6.7,500000,250000,20000000,0,0,250000,392000,10200000,0,0
5448795,1.16384,1.16391,0.27712,-0.06928,6.7,500000,250000,20000000,0,0,250000,395000,10200000,0,0
5449804,1.16384,1.16391,0.27712,-0.06928,6.7,500000,250000,20000000,0,0,250000,399000,10200000,0,0
5449978,1.16383,1.16391,0.27031,-0.00681,6.7,750000,1510000,20000000,0,0,649000,1510000,20000000,0,0
5450181,1.16383,1.16391,0.27031,-0.00681,6.7,750000,1000000,110200000,0,0,250000,399000,30200000,0,0
5450497,1.16383,1.16391,0.27031,-0.00681,6.7,250000,500000,30000000,0,0,650000,1010000,110000000,0,0
5450634,1.16383,1.16390,0.28978,0.01947,6.7,750000,1000000,110200000,0,0,250000,901000,40200000,0,0
5450928,1.16383,1.16391,0.26499,-0.02479,6.8,750000,1510000,20000000,0,0,652000,1510000,20000000,0,0
5451574,1.16383,1.16390,0.27445,0.00946,6.8,750000,1500000,20200000,0,0,250000,404000,10200000,0,0
5451752,1.16383,1.16390,0.27445,0.00946,6.8,750000,1000000,110200000,0,0,250000,905000,40200000,0,0
5451964,1.16383,1.16391,0.21956,-0.05489,6.8,750000,1000000,110200000,0,0,250000,405000,30200000,0,0
5452783,1.16383,1.16391,0.21956,-0.05489,6.8,750000,1000000,110200000,0,0,250000,408000,30200000,0,0
5453728,1.16383,1.16391,0.21956,-0.05489,6.8,750000,1000000,110200000,0,0,250000,412000,30200000,0,0
5453945,1.16383,1.16390,0.22613,0.00657,6.8,750000,1500000,20200000,0,0,250000,412000,10200000,0,0
5454800,1.16383,1.16390,0.22613,0.00657,6.8,750000,1500000,20200000,0,0,250000,415000,10200000,0,0
5455858,1.16383,1.16390,0.22613,0.00657,6.8,750000,1500000,20200000,0,0,250000,420000,10200000,0,0
5456143,1.16383,1.16389,0.22648,0.00035,6.8,250000,500000,30000000,0,0,420000,1260000,100000000,0,0
5456291,1.16382,1.16389,0.26647,0.03999,6.8,250000,500000,30000000,0,0,250000,921000,40200000,0,0
5456443,1.16381,1.16388,0.37331,0.10683,6.8,750000,1000000,110200000,0,0,250000,921000,40200000,0,0
5457265,1.16381,1.16388,0.37331,0.10683,6.8,750000,1000000,110200000,0,0,250000,924000,40200000,0,0
