TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
4127033,1.34275,1.34283,0.00000,0.00000,8.0,100000,500000,25000000,0,0,100000,500000,10000000,0,0
4127614,1.34275,1.34283,0.00000,0.00000,8.0,100000,1000000,25000000,0,0,100000,500000,10000000,0,0
4128689,1.34273,1.34282,0.00000,0.00000,8.5,100000,1000000,20000000,0,0,500000,100000,30000000,0,0
4131139,1.34273,1.34283,0.00000,0.00000,9.0,100000,1000000,20000000,0,0,600000,500000,40000000,0,0
4131742,1.34274,1.34283,0.00000,0.00000,9.0,100000,500000,10000000,0,0,600000,1500000,45000000,0,0
4132861,1.34274,1.34283,0.00000,0.00000,9.0,100000,500000,10000000,0,0,600000,500000,40000000,0,0
4134417,1.34274,1.34283,0.00000,0.00000,9.0,100000,1000000,25000000,0,0,600000,500000,40000000,0,0
4135638,1.34274,1.34283,0.00000,0.00000,9.0,600000,500000,25000000,0,0,600000,500000,40000000,0,0
4136573,1.34274,1.34283,0.00000,0.00000,9.0,100000,500000,10000000,0,0,600000,500000,20000000,0,0
4137737,1.34274,1.34283,0.00000,0.00000,9.0,100000,1000000,25000000,0,0,600000,500000,20000000,0,0
4139324,1.34275,1.34283,0.00000,0.00000,8.8,500000,600000,40000000,0,0,100000,1000000,5000000,0,0
4139510,1.34275,1.34284,0.02576,0.02576,8.8,500000,600000,20000000,0,0,100000,1000000,45000000,0,0
4139991,1.34275,1.34284,0.02576,0.02576,8.8,100000,1000000,45000000,0,0,600000,500000,40000000,0,0
4140887,1.34275,1.34284,0.02576,0.02576,8.8,100000,1000000,20000000,0,0,600000,500000,20000000,0,0
4141692,1.34275,1.34284,0.02576,0.02576,8.8,100000,1000000,45000000,0,0,600000,500000,40000000,0,0
4142220,1.34275,1.34283,0.05740,0.03164,8.7,100000,500000,30000000,0,0,500000,100000,30000000,0,0
4142399,1.34274,1.34283,0.11491,0.05751,8.7,600000,1500000,25000000,0,0,500000,600000,20000000,0,0
4143341,1.34274,1.34283,0.11491,0.05751,8.7,100000,500000,30000000,0,0,600000,500000,20000000,0,0
4144756,1.34274,1.34282,0.13437,0.01946,8.7,100000,1000000,25000000,0,0,500000,100000,30000000,0,0
4152163,1.34275,1.34283,0.13450,0.00013,8.6,500000,100000,10000000,0,0,100000,1500000,20000000,0,0
4156748,1.34275,1.34284,0.12941,-0.00509,8.6,500000,100000,10000000,0,0,1100000,1000000,45000000,0,0
4157635,1.34275,1.34283,0.10353,-0.02588,8.6,500000,100000,10000000,0,0,500000,600000,20000000,0,0
4158889,1.34274,1.34283,0.16366,0.06014,8.6,600000,500000,25000000,0,0,600000,500000,40000000,0,0
4159671,1.34274,1.34283,0.16366,0.06014,8.6,600000,500000,45000000,0,0,600000,500000,40000000,0,0
4162694,1.34275,1.34283,0.15709,-0.00657,8.6,500000,100000,10000000,0,0,600000,500000,20000000,0,0
4163382,1.34276,1.34284,0.19219,0.03510,8.5,500000,100000,30000000,0,0,100000,1500000,85200000,0,0
4164234,1.34276,1.34284,0.19219,0.03510,8.5,600000,500000,25000000,0,0,500000,600000,20000000,0,0
4166223,1.34276,1.34284,0.19219,0.03510,8.5,500000,100000,10000000,0,0,600000,1500000,25200000,0,0
4167148,1.34276,1.34284,0.19219,0.03510,8.5,600000,500000,25000000,0,0,600000,1500000,25200000,0,0
4168144,1.34276,1.34284,0.19219,0.03510,8.5,500000,100000,10000000,0,0,500000,100000,30000000,0,0
4169938,1.34276,1.34284,0.19219,0.03510,8.5,600000,500000,25000000,0,0,500000,100000,30000000,0,0
