TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
4873277,25262.97,25264.47,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4874278,25262.97,25264.47,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4875017,25262.47,25263.97,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4875222,25261.47,25262.97,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4875954,25260.97,25262.47,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4876839,25260.47,25261.97,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4877209,25260.97,25262.47,0.00000,0.00000,150.0,25,50,1500,0,0,25,50,1500,0,0
4877859,25261.47,25262.97,19.58864,19.58864,150.0,25,50,1500,0,0,25,50,1500,0,0
4878399,25262.47,25263.97,40.88099,21.29236,150.0,25,50,1500,0,0,25,50,1500,0,0
4879171,25261.97,25263.47,40.33256,-0.54843,150.0,25,50,1500,0,0,25,50,1500,0,0
4880122,25262.47,25263.97,32.26605,-8.06651,150.0,25,50,1500,0,0,25,50,1500,0,0
4881443,25262.97,25264.47,33.38860,1.12255,150.0,25,50,1500,0,0,25,50,1500,0,0
4882285,25263.47,25264.97,35.98301,2.59442,150.0,25,50,1500,0,0,25,50,1500,0,0
4882975,25263.97,25265.47,41.90117,5.91815,150.0,25,50,1500,0,0,25,50,1500,0,0
4885649,25263.47,25264.97,37.25088,-4.65028,150.0,25,50,1500,0,0,25,50,1500,0,0
4886481,25263.97,25265.47,29.80071,-7.45018,150.0,25,50,1500,0,0,25,50,1500,0,0
4887796,25263.47,25264.97,31.45671,1.65600,150.0,25,50,1500,0,0,25,50,1500,0,0
4889107,25263.97,25265.47,32.78152,1.32480,150.0,25,50,1500,0,0,25,50,1500,0,0
4890557,25264.47,25265.97,33.11701,0.33550,150.0,25,50,1500,0,0,25,50,1500,0,0
4892877,25263.97,25265.47,30.80581,-2.31120,150.0,25,50,1500,0,0,25,50,1500,0,0
4896472,25263.97,25265.47,30.80581,-2.31120,150.0,25,50,1500,0,0,25,50,1500,0,0
4901556,25263.47,25264.97,25.79686,-5.00896,150.0,25,50,1500,0,0,25,50,1500,0,0
4901711,25263.97,25265.47,20.63749,-5.15937,150.0,25,50,1500,0,0,25,50,1500,0,0
4904478,25264.97,25266.47,23.73803,3.10055,150.0,25,50,1500,0,0,25,50,1500,0,0
4911039,25263.47,25264.97,23.56360,-0.17444,150.0,25,50,1500,0,0,25,50,1500,0,0
4913185,25262.97,25264.47,23.51071,-0.05289,150.0,25,50,1500,0,0,25,50,1500,0,0
4914460,25262.47,25263.97,26.64556,3.13485,150.0,25,50,1500,0,0,25,50,1500,0,0
4920519,25261.47,25262.97,24.61787,-2.02769,150.0,25,50,1500,0,0,25,50,1500,0,0
4921813,25260.97,25262.47,27.43423,2.81636,150.0,25,50,1500,0,0,25,50,1500,0,0
4922054,25261.47,25262.97,21.94739,-5.48685,150.0,25,50,1500,0,0,25,50,1500,0,0
4924791,25261.97,25263.47,21.20888,-0.73851,150.0,25,50,1500,0,0,25,50,1500,0,0
4925485,25262.47,25263.97,22.79800,1.58913,150.0,25,50,1500,0,0,25,50,1500,0,0
4925793,25262.97,25264.47,26.26623,3.46823,150.0,25,50,1500,0,0,25,50,1500,0,0
4927401,25262.47,25263.97,27.22803,0.96179,150.0,25,50,1500,0,0,25,50,1500,0,0
4928605,25262.97,25264.47,30.10189,2.87386,150.0,25,50,1500,0,0,25,50,1500,0,0
4931981,25262.97,25264.47,30.10189,2.87386,150.0,25,50,1500,0,0,25,50,1500,0,0
4932376,25262.47,25263.97,26.73262,-3.36926,150.0,25,50,1500,0,0,25,50,1500,0,0
4932706,25263.47,25264.97,23.82394,-2.90869,150.0,25,50,1500,0,0,25,50,1500,0,0
4935935,25263.47,25264.97,19.05915,-4.76479,150.0,25,50,1500,0,0,25,50,1500,0,0
4940272,25263.47,25264.97,19.05915,-4.76479,150.0,25,50,1500,0,0,25,50,1500,0,0
4941896,25263.97,25265.47,16.92517,-2.13398,150.0,25,50,1500,0,0,25,50,1500,0,0
4942229,25262.47,25263.97,16.71928,-0.20589,150.0,25,50,1500,0,0,25,50,1500,0,0
4943502,25262.97,25264.47,21.21856,4.49928,150.0,25,50,1500,0,0,25,50,1500,0,0
4945122,25263.47,25264.97,23.14769,1.92913,150.0,25,50,1500,0,0,25,50,1500,0,0
4946586,25262.47,25263.97,32.42636,9.27867,150.0,25,50,1500,0,0,25,50,1500,0,0
4947511,25261.97,25263.47,38.49864,6.07228,150.0,25,50,1500,0,0,25,50,1500,0,0
4948104,25262.47,25263.97,30.79891,-7.69973,150.0,25,50,1500,0,0,25,50,1500,0,0
4952531,25262.97,25264.47,26.89698,-3.90194,150.0,25,50,1500,0,0,25,50,1500,0,0
4953897,25263.47,25264.97,28.83287,1.93589,150.0,25,50,1500,0,0,25,50,1500,0,0
4954207,25262.97,25264.47,23.06630,-5.76657,150.0,25,50,1500,0,0,25,50,1500,0,0
4954402,25263.47,25264.97,23.80063,0.73433,150.0,25,50,1500,0,0,25,50,1500,0,0
4955300,25262.97,25264.47,19.04050,-4.76013,150.0,25,50,1500,0,0,25,50,1500,0,0
4955574,25263.47,25264.97,15.23240,-3.80810,150.0,25,50,1500,0,0,25,50,1500,0,0
4955930,25262.97,25264.47,18.74760,3.51520,150.0,25,50,1500,0,0,25,50,1500,0,0
4957123,25263.47,25264.97,23.35929,4.61168,150.0,25,50,1500,0,0,25,50,1500,0,0
4957305,25262.97,25264.47,18.68743,-4.67186,150.0,25,50,1500,0,0,25,50,1500,0,0
4957638,25263.47,25264.97,20.78085,2.09342,150.0,25,50,1500,0,0,25,50,1500,0,0
4959239,25262.97,25264.47,22.88250,2.10165,150.0,25,50,1500,0,0,25,50,1500,0,0
4959521,25262.47,25263.97,28.97836,6.09586,150.0,25,50,1500,0,0,25,50,1500,0,0
4960065,25261.97,25263.47,35.54872,6.57036,150.0,25,50,1500,0,0,25,50,1500,0,0
4962103,25261.47,25262.97,33.34575,-2.20297,150.0,25,50,1500,0,0,25,50,1500,0,0
4963140,25260.47,25261.97,46.01896,12.67321,150.0,25,50,1500,0,0,25,50,1500,0,0
4963799,25259.97,25261.47,54.54566,8.52670,150.0,25,50,1500,0,0,25,50,1500,0,0
4964665,25259.47,25260.97,56.73411,2.18844,150.0,25,50,1500,0,0,25,50,1500,0,0
4966569,25259.97,25261.47,50.82207,-5.91204,150.0,25,50,1500,0,0,25,50,1500,0,0
4967205,25259.47,25260.97,40.65765,-10.16441,150.0,25,50,1500,0,0,25,50,1500,0,0
4967764,25259.97,25261.47,32.52612,-8.13153,150.0,25,50,1500,0,0,25,50,1500,0,0
4969698,25260.97,25262.47,36.40512,3.87899,150.0,25,50,1500,0,0,25,50,1500,0,0
4971969,25259.97,25261.47,37.88066,1.47554,150.0,25,50,1500,0,0,25,50,1500,0,0
4972262,25260.47,25261.97,34.19406,-3.68659,150.0,25,50,1500,0,0,25,50,1500,0,0
4977229,25260.97,25262.47,29.36651,-4.82755,150.0,25,50,1500,0,0,25,50,1500,0,0
4978687,25260.47,25261.97,30.34253,0.97601,150.0,25,50,1500,0,0,25,50,1500,0,0
4984461,25260.97,25262.47,26.00502,-4.33750,150.0,25,50,1500,0,0,25,50,1500,0,0
4986585,25261.47,25262.97,25.55010,-0.45492,150.0,25,50,1500,0,0,25,50,1500,0,0
4990980,25262.47,25263.97,24.97935,-0.57076,150.0,25,50,1500,0,0,25,50,1500,0,0
4995336,25263.47,25264.97,24.57274,-0.40661,150.0,25,50,1500,0,0,25,50,1500,0,0
4998434,25263.97,25265.47,22.88296,-1.68978,150.0,25,50,1500,0,0,25,50,1500,0,0
5000537,25264.47,25265.97,23.06600,0.18305,150.0,25,50,1500,0,0,25,50,1500,0,0
5002728,25264.97,25266.47,23.01693,-0.04907,150.0,25,50,1500,0,0,25,50,1500,0,0
5003349,25265.47,25266.97,25.52845,2.51152,150.0,25,50,1500,0,0,25,50,1500,0,0
5004076,25264.97,25266.47,20.42276,-5.10569,150.0,25,50,1500,0,0,25,50,1500,0,0
5005460,25264.47,25265.97,23.56364,3.14088,150.0,25,50,1500,0,0,25,50,1500,0,0
5006558,25263.97,25265.47,27.95838,4.39474,150.0,25,50,1500,0,0,25,50,1500,0,0
5006733,25263.47,25264.97,38.07762,10.11924,150.0,25,50,1500,0,0,25,50,1500,0,0
5008568,25262.97,25264.47,35.91466,-2.16296,150.0,25,50,1500,0,0,25,50,1500,0,0
