TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
3848516,4638.11,4638.41,0.00000,0.00000,30.0,100,200,10000,0,0,100,200,10000,0,0
3848739,4637.91,4638.21,0.00000,0.00000,30.0,100,200,10000,0,0,100,200,10000,0,0
3848915,4637.90,4638.20,0.00000,0.00000,30.0,100,200,10000,0,0,100,200,10000,0,0
3849824,4637.92,4638.22,0.00000,0.00000,30.0,100,200,10000,0,0,100,200,10000,0,0
3850047,4637.94,4638.24,0.00000,0.00000,30.0,100,200,10000,0,0,100,200,10000,0,0
3850954,4638.05,4638.35,2.29479,2.29479,30.0,100,200,10000,0,0,100,200,10000,0,0
3851139,4637.94,4638.24,1.83583,-0.45896,30.0,100,200,10000,0,0,100,200,10000,0,0
3851471,4637.77,4638.07,3.86135,2.02551,30.0,100,200,10000,0,0,100,200,10000,0,0
3851691,4637.63,4637.93,6.86496,3.00361,30.0,100,200,10000,0,0,100,200,10000,0,0
3852411,4637.66,4637.96,9.90489,3.03993,30.0,100,200,10000,0,0,100,200,10000,0,0
3852581,4637.70,4638.00,9.18291,-0.72199,30.0,100,200,10000,0,0,100,200,10000,0,0
3853278,4637.79,4638.09,9.36144,0.17853,30.0,100,200,10000,0,0,100,200,10000,0,0
3853432,4637.65,4637.95,7.68542,-1.67602,30.0,100,200,10000,0,0,100,200,10000,0,0
3853814,4637.66,4637.96,6.79927,-0.88615,30.0,100,200,10000,0,0,100,200,10000,0,0
3854108,4637.69,4637.99,5.57057,-1.22871,30.0,100,200,10000,0,0,100,200,10000,0,0
3854586,4637.51,4637.81,6.87860,1.30803,30.0,100,200,10000,0,0,100,200,10000,0,0
3854768,4637.35,4637.65,9.98049,3.10189,30.0,100,200,10000,0,0,100,200,10000,0,0
3854944,4637.45,4637.75,11.68483,1.70434,30.0,100,200,10000,0,0,100,200,10000,0,0
3855139,4637.41,4637.71,14.79004,3.10521,30.0,100,200,10000,0,0,100,200,10000,0,0
3855957,4637.50,4637.80,12.82706,-1.96298,30.0,100,200,10000,0,0,100,200,10000,0,0
3856132,4637.68,4637.98,14.14350,1.31644,30.0,100,200,10000,0,0,100,200,10000,0,0
3856330,4637.69,4637.99,16.00885,1.86535,30.0,100,200,10000,0,0,100,200,10000,0,0
3856508,4637.79,4638.09,18.34241,2.33355,30.0,100,200,10000,0,0,100,200,10000,0,0
3856668,4637.97,4638.27,21.98463,3.64222,30.0,100,200,10000,0,0,100,200,10000,0,0
3857003,4638.05,4638.35,28.05393,6.06930,30.0,100,200,10000,0,0,100,200,10000,0,0
3857660,4638.09,4638.39,27.64696,-0.40697,30.0,100,200,10000,0,0,100,200,10000,0,0
3858548,4638.13,4638.43,23.15316,-4.49379,30.0,100,200,10000,0,0,100,200,10000,0,0
3858868,4638.14,4638.44,19.35241,-3.80076,30.0,100,200,10000,0,0,100,200,10000,0,0
3859121,4638.10,4638.40,15.61910,-3.73331,30.0,100,200,10000,0,0,100,200,10000,0,0
3859634,4638.07,4638.37,13.60331,-2.01579,30.0,100,200,10000,0,0,100,200,10000,0,0
3859953,4638.02,4638.32,13.09667,-0.50664,30.0,100,200,10000,0,0,100,200,10000,0,0
3860103,4638.02,4638.32,13.09667,-0.50664,30.0,100,200,10000,0,0,100,200,10000,0,0
3860352,4637.98,4638.28,12.42697,-0.66970,30.0,100,200,10000,0,0,100,200,10000,0,0
3860671,4637.98,4638.24,12.06104,-0.36593,29.9,100,200,10000,0,0,100,200,10000,0,0
3860870,4637.72,4638.02,15.28944,3.22840,29.9,100,200,10000,0,0,100,200,10000,0,0
3861088,4637.80,4638.10,16.09799,0.80854,29.9,100,200,10000,0,0,100,200,10000,0,0
3861944,4637.87,4638.17,15.68213,-0.41586,29.9,100,200,10000,0,0,100,200,10000,0,0
3862174,4637.86,4638.16,13.65271,-2.02941,29.9,100,200,10000,0,0,100,200,10000,0,0
3862849,4637.83,4638.13,11.26250,-2.39021,29.9,100,200,10000,0,0,100,200,10000,0,0
3863614,4637.92,4638.22,9.84333,-1.41917,29.9,100,200,10000,0,0,100,200,10000,0,0
3864419,4637.96,4638.26,9.53283,-0.31050,29.9,100,200,10000,0,0,100,200,10000,0,0
3864596,4637.99,4638.29,9.46007,-0.07276,29.9,100,200,10000,0,0,100,200,10000,0,0
3865173,4637.88,4638.18,8.07957,-1.38051,29.9,100,200,10000,0,0,100,200,10000,0,0
3865651,4637.80,4638.10,10.06897,1.98940,29.9,100,200,10000,0,0,100,200,10000,0,0
3865836,4637.46,4637.74,16.76485,6.69588,29.9,100,200,10000,0,0,100,200,10000,0,0
3866012,4637.10,4637.40,26.00028,9.23543,29.9,100,200,10000,0,0,100,200,10000,0,0
3866173,4637.14,4637.44,31.59388,5.59359,29.9,100,200,10000,0,0,100,200,10000,0,0
3866610,4637.02,4637.32,37.30307,5.70920,29.9,100,200,10000,0,0,100,200,10000,0,0
3866836,4636.93,4637.23,44.61326,7.31018,29.9,100,200,10000,0,0,100,200,10000,0,0
3867011,4636.88,4637.18,40.09061,-4.52265,29.9,100,200,10000,0,0,100,200,10000,0,0
3867295,4636.98,4637.28,34.92453,-5.16607,29.9,100,200,10000,0,0,100,200,10000,0,0
3867444,4637.02,4637.32,29.82642,-5.09811,29.9,100,200,10000,0,0,100,200,10000,0,0
3867654,4637.03,4637.33,24.05381,-5.77261,29.9,100,200,10000,0,0,100,200,10000,0,0
3868023,4637.03,4637.33,24.05381,-5.77261,29.9,100,200,10000,0,0,100,200,10000,0,0
3868241,4637.05,4637.35,22.00953,-2.04429,29.9,100,200,10000,0,0,100,200,10000,0,0
3868492,4637.06,4637.36,18.37244,-3.63709,29.9,100,200,10000,0,0,100,200,10000,0,0
3868713,4637.10,4637.40,16.01127,-2.36117,29.9,100,200,10000,0,0,100,200,10000,0,0
3869192,4637.01,4637.31,13.06775,-2.94352,29.9,100,200,10000,0,0,100,200,10000,0,0
3869781,4637.05,4637.35,10.45420,-2.61355,29.9,100,200,10000,0,0,100,200,10000,0,0
3869951,4637.08,4637.38,8.68620,-1.76800,29.9,100,200,10000,0,0,100,200,10000,0,0
3870451,4637.12,4637.42,8.25737,-0.42883,29.9,100,200,10000,0,0,100,200,10000,0,0
3870712,4637.08,4637.38,7.05669,-1.20069,29.9,100,200,10000,0,0,100,200,10000,0,0
3870879,4637.05,4637.35,5.64535,-1.41134,29.9,100,200,10000,0,0,100,200,10000,0,0
3871444,4637.04,4637.34,5.05140,-0.59395,29.9,100,200,10000,0,0,100,200,10000,0,0
3871850,4636.94,4637.24,6.49941,1.44802,29.9,100,200,10000,0,0,100,200,10000,0,0
3872164,4636.94,4637.24,6.49941,1.44802,29.9,100,200,10000,0,0,100,200,10000,0,0
3872379,4636.77,4637.07,8.94035,2.44093,29.9,100,200,10000,0,0,100,200,10000,0,0
3872628,4636.69,4636.99,13.05447,4.11412,29.9,100,200,10000,0,0,100,200,10000,0,0
3872876,4636.59,4636.89,17.28620,4.23173,29.9,100,200,10000,0,0,100,200,10000,0,0
3873047,4636.65,4636.95,18.66632,1.38013,29.9,100,200,10000,0,0,100,200,10000,0,0
3873222,4636.65,4636.95,18.66632,1.38013,29.9,100,200,10000,0,0,100,200,10000,0,0
3873396,4636.68,4636.98,16.70297,-1.96335,29.9,100,200,10000,0,0,100,200,10000,0,0
3873626,4636.67,4636.97,14.95854,-1.74442,29.9,100,200,10000,0,0,100,200,10000,0,0
3873809,4636.68,4636.98,12.13690,-2.82164,29.9,100,200,10000,0,0,100,200,10000,0,0
3873985,4636.63,4636.93,10.42959,-1.70731,29.9,100,200,10000,0,0,100,200,10000,0,0
3874962,4636.63,4636.93,10.42959,-1.70731,29.9,100,200,10000,0,0,100,200,10000,0,0
3875241,4636.65,4636.95,8.66164,-1.76795,29.9,100,200,10000,0,0,100,200,10000,0,0
3875411,4636.65,4636.95,8.66164,-1.76795,29.9,100,200,10000,0,0,100,200,10000,0,0
3875607,4636.77,4637.07,8.65558,-0.00606,29.9,100,200,10000,0,0,100,200,10000,0,0
3875951,4636.73,4637.03,7.94175,-0.71382,29.9,100,200,10000,0,0,100,200,10000,0,0
3876127,4636.80,4637.10,7.94071,-0.00105,29.9,100,200,10000,0,0,100,200,10000,0,0
3876352,4636.76,4637.06,8.33633,0.39563,29.9,100,200,10000,0,0,100,200,10000,0,0
3876571,4636.79,4637.09,8.77750,0.44117,29.9,100,200,10000,0,0,100,200,10000,0,0
3876764,4636.81,4637.11,7.73122,-1.04628,29.9,100,200,10000,0,0,100,200,10000,0,0
3876901,4636.83,4637.13,7.11449,-0.61673,29.9,100,200,10000,0,0,100,200,10000,0,0
3877150,4636.84,4637.14,6.47208,-0.64241,29.9,100,200,10000,0,0,100,200,10000,0,0
3878107,4636.75,4637.05,6.50326,0.03118,29.9,100,200,10000,0,0,100,200,10000,0,0
3879110,4636.58,4636.88,8.58233,2.07907,29.9,100,200,10000,0,0,100,200,10000,0,0
3879436,4636.71,4637.01,7.46782,-1.11451,30.0,100,200,10000,0,0,100,200,10000,0,0
3879920,4636.69,4636.99,6.63578,-0.83204,30.0,100,200,10000,0,0,100,200,10000,0,0
3880671,4636.73,4637.03,5.63199,-1.00379,30.0,100,200,10000,0,0,100,200,10000,0,0
3880920,4636.68,4636.98,4.70559,-0.92640,30.0,100,200,10000,0,0,100,200,10000,0,0
3881188,4636.66,4636.96,4.23654,-0.46905,30.0,100,200,10000,0,0,100,200,10000,0,0
3881691,4636.69,4636.99,3.60769,0.07751,30.0,100,200,10000,0,0,100,200,10000,0,0
3882652,4636.80,4637.10,4.71402,1.10634,30.0,100,200,10000,0,0,100,200,10000,0,0
3883797,4636.82,4637.12,4.12118,-0.59285,30.0,100,200,10000,0,0,100,200,10000,0,0
3884192,4636.86,4637.16,4.07616,-0.04501,30.0,100,200,10000,0,0,100,200,10000,0,0
3884392,4636.81,4637.11,3.37581,-0.70036,30.0,100,200,10000,0,0,100,200,10000,0,0
3885236,4636.81,4637.11,3.37581,-0.70036,30.0,100,200,10000,0,0,100,200,10000,0,0
3885394,4636.75,4637.05,3.89825,0.52244,30.0,100,200,10000,0,0,100,200,10000,0,0
3885658,4636.64,4636.94,5.79999,1.90174,30.0,100,200,10000,0,0,100,200,10000,0,0
3886111,4636.50,4636.80,8.25094,2.45095,30.0,100,200,10000,0,0,100,200,10000,0,0
3886312,4636.54,4636.84,9.41472,1.16378,30.0,100,200,10000,0,0,100,200,10000,0,0
3886480,4636.58,4636.88,10.66831,1.25359,30.0,100,200,10000,0,0,100,200,10000,0,0
3886778,4636.55,4636.85,10.14466,-0.52364,30.0,100,200,10000,0,0,100,200,10000,0,0
3886992,4636.59,4636.89,8.86704,-1.27762,30.0,100,200,10000,0,0,100,200,10000,0,0
3887300,4636.58,4636.88,8.43704,-0.43000,30.0,100,200,10000,0,0,100,200,10000,0,0
3887630,4636.54,4636.84,7.44348,-0.99357,30.0,100,200,10000,0,0,100,200,10000,0,0
3888016,4636.56,4636.86,6.54015,-0.90333,30.0,100,200,10000,0,0,100,200,10000,0,0
3888371,4636.60,4636.90,5.60525,-0.93490,30.0,100,200,10000,0,0,100,200,10000,0,0
3888872,4636.63,4636.93,5.93699,0.33173,30.0,100,200,10000,0,0,100,200,10000,0,0
3889280,4636.57,4636.87,4.90807,-1.02892,30.0,100,200,10000,0,0,100,200,10000,0,0
3889499,4636.68,4636.98,5.34489,0.43683,30.0,100,200,10000,0,0,100,200,10000,0,0
3889731,4636.63,4636.93,4.71807,-0.62683,30.0,100,200,10000,0,0,100,200,10000,0,0
3889952,4636.66,4636.96,4.32950,-0.38857,30.0,100,200,10000,0,0,100,200,10000,0,0
3890107,4636.66,4636.96,4.32950,-0.38857,30.0,100,200,10000,0,0,100,200,10000,0,0
3890352,4636.70,4637.00,5.88445,1.55496,30.0,100,200,10000,0,0,100,200,10000,0,0
3890508,4636.72,4637.02,5.50121,-0.38324,30.0,100,200,10000,0,0,100,200,10000,0,0
3890808,4636.70,4637.00,5.69607,0.19485,30.0,100,200,10000,0,0,100,200,10000,0,0
3890974,4636.80,4637.10,7.29926,1.60320,30.0,100,200,10000,0,0,100,200,10000,0,0
3891232,4636.77,4637.07,7.55950,0.26024,30.0,100,200,10000,0,0,100,200,10000,0,0
3891472,4636.78,4637.08,7.47745,-0.08205,30.0,100,200,10000,0,0,100,200,10000,0,0
3891764,4636.76,4637.06,6.61992,-0.85753,30.0,100,200,10000,0,0,100,200,10000,0,0
3891974,4636.79,4637.09,5.49594,-1.12398,30.0,100,200,10000,0,0,100,200,10000,0,0
3892191,4636.81,4637.11,4.56122,-0.93471,30.0,100,200,10000,0,0,100,200,10000,0,0
3892439,4636.75,4637.05,3.98010,-0.58112,30.0,100,200,10000,0,0,100,200,10000,0,0
3892597,4636.77,4637.07,3.36170,-0.61840,30.0,100,200,10000,0,0,100,200,10000,0,0
3893601,4636.75,4637.05,3.08817,-0.27354,30.0,100,200,10000,0,0,100,200,10000,0,0
3894133,4636.77,4637.07,2.47053,-0.61763,30.0,100,200,10000,0,0,100,200,10000,0,0
3894504,4636.75,4637.05,2.18618,-0.28435,30.0,100,200,10000,0,0,100,200,10000,0,0
3894666,4636.76,4637.06,1.93709,-0.24909,30.0,100,200,10000,0,0,100,200,10000,0,0
3894891,4636.74,4637.04,1.70471,-0.23238,30.0,100,200,10000,0,0,100,200,10000,0,0
3895115,4636.73,4637.03,1.62832,-0.07639,30.0,100,200,10000,0,0,100,200,10000,0,0
3895478,4636.67,4636.97,2.78633,1.15802,30.0,100,200,10000,0,0,100,200,10000,0,0
3895660,4636.58,4636.88,5.17534,2.38901,30.0,100,200,10000,0,0,100,200,10000,0,0
3895901,4636.64,4636.94,6.12047,0.94513,30.0,100,200,10000,0,0,100,200,10000,0,0
3896117,4636.54,4636.84,8.68879,2.56832,30.0,100,200,10000,0,0,100,200,10000,0,0
3896281,4636.63,4636.93,8.65898,-0.02982,30.0,100,200,10000,0,0,100,200,10000,0,0
3896502,4636.63,4636.93,8.65898,-0.02982,30.0,100,200,10000,0,0,100,200,10000,0,0
3896707,4636.62,4636.92,7.69127,-0.96771,30.0,100,200,10000,0,0,100,200,10000,0,0
3896953,4636.56,4636.86,7.66960,-0.02167,30.0,100,200,10000,0,0,100,200,10000,0,0
3897149,4636.53,4636.83,6.32873,-1.34087,30.0,100,200,10000,0,0,100,200,10000,0,0
3897889,4636.46,4636.76,7.76341,1.43468,30.0,100,200,10000,0,0,100,200,10000,0,0
3898144,4636.44,4636.74,8.23433,0.47093,30.0,100,200,10000,0,0,100,200,10000,0,0
3898440,4636.49,4636.75,7.51842,-0.71591,29.9,100,200,10000,0,0,100,200,10000,0,0
3898650,4636.11,4636.41,11.61101,4.09258,29.9,100,200,10000,0,0,100,200,10000,0,0
3898864,4636.11,4636.41,11.61101,4.09258,29.9,100,200,10000,0,0,100,200,10000,0,0
3899237,4636.20,4636.50,13.67237,2.06136,29.9,100,200,10000,0,0,100,200,10000,0,0
3899437,4636.23,4636.53,14.17863,0.50627,29.9,100,200,10000,0,0,100,200,10000,0,0
3900147,4636.18,4636.48,12.28062,-1.89802,29.9,100,200,10000,0,0,100,200,10000,0,0
3900459,4636.17,4636.47,10.99866,-1.28196,29.9,100,200,10000,0,0,100,200,10000,0,0
3900873,4636.07,4636.37,11.02424,0.02558,29.9,100,200,10000,0,0,100,200,10000,0,0
3901333,4636.06,4636.36,10.83790,-0.18635,29.9,100,200,10000,0,0,100,200,10000,0,0
3901485,4636.07,4636.37,10.62154,-0.21636,29.9,100,200,10000,0,0,100,200,10000,0,0
3901801,4636.09,4636.39,9.69126,-0.93028,29.9,100,200,10000,0,0,100,200,10000,0,0
3902097,4636.12,4636.42,8.57538,-1.11588,29.9,100,200,10000,0,0,100,200,10000,0,0
3902730,4636.18,4636.48,8.62171,0.04633,29.9,100,200,10000,0,0,100,200,10000,0,0
3902891,4636.25,4636.55,9.81708,1.19537,29.9,100,200,10000,0,0,100,200,10000,0,0
3903071,4636.21,4636.51,9.74194,-0.07514,29.9,100,200,10000,0,0,100,200,10000,0,0
3903314,4636.10,4636.40,8.12035,-1.62159,29.9,100,200,10000,0,0,100,200,10000,0,0
3903471,4636.46,4636.76,11.42739,3.30704,29.9,100,200,10000,0,0,100,200,10000,0,0
3903684,4636.44,4636.74,13.16454,1.73715,29.9,100,200,10000,0,0,100,200,10000,0,0
3903965,4636.42,4636.72,13.71217,0.54764,29.9,100,200,10000,0,0,100,200,10000,0,0
3904493,4636.49,4636.79,11.64801,-2.17887,29.9,100,200,10000,0,0,100,200,10000,0,0
3905265,4636.49,4636.79,11.64801,-2.17887,29.9,100,200,10000,0,0,100,200,10000,0,0
3905494,4636.44,4636.74,10.39616,-1.25185,29.9,100,200,10000,0,0,100,200,10000,0,0
3905772,4636.47,4636.77,8.63066,-1.76551,29.9,100,200,10000,0,0,100,200,10000,0,0
3906037,4636.54,4636.84,7.55136,-1.07930,29.9,100,200,10000,0,0,100,200,10000,0,0
3907027,4636.66,4636.96,9.06897,1.51762,29.9,100,200,10000,0,0,100,200,10000,0,0
3907451,4636.68,4636.98,9.23959,0.17061,29.9,100,200,10000,0,0,100,200,10000,0,0
3907955,4636.69,4636.99,8.95989,-0.27970,29.9,100,200,10000,0,0,100,200,10000,0,0
3908336,4636.69,4636.99,8.95989,-0.27970,29.9,100,200,10000,0,0,100,200,10000,0,0
3908500,4636.69,4636.99,8.95989,-0.27970,29.9,100,200,10000,0,0,100,200,10000,0,0
3908742,4636.67,4636.97,7.32259,-1.63730,29.9,100,200,10000,0,0,100,200,10000,0,0
3908905,4636.58,4636.88,7.23264,-0.08995,29.9,100,200,10000,0,0,100,200,10000,0,0
3909065,4636.54,4636.84,8.48153,1.24889,29.9,100,200,10000,0,0,100,200,10000,0,0
3910172,4636.58,4636.88,7.50660,-0.97494,29.9,100,200,10000,0,0,100,200,10000,0,0
3910517,4636.60,4636.90,6.83115,-0.67544,29.9,100,200,10000,0,0,100,200,10000,0,0
3910893,4636.67,4636.97,6.88802,0.05687,29.9,100,200,10000,0,0,100,200,10000,0,0
3911805,4636.69,4636.99,6.91338,0.02536,29.9,100,200,10000,0,0,100,200,10000,0,0
3912297,4636.63,4636.93,6.10050,-0.81288,29.9,100,200,10000,0,0,100,200,10000,0,0
3913972,4636.68,4636.98,5.47600,-0.62451,29.9,100,200,10000,0,0,100,200,10000,0,0
3914805,4636.68,4636.98,5.47600,-0.62451,29.9,100,200,10000,0,0,100,200,10000,0,0
3915193,4636.71,4637.01,4.87462,-0.60137,29.9,100,200,10000,0,0,100,200,10000,0,0
3915433,4636.81,4637.11,5.68664,0.81202,29.9,100,200,10000,0,0,100,200,10000,0,0
3915607,4636.78,4637.08,5.77781,0.09117,29.9,100,200,10000,0,0,100,200,10000,0,0
3915801,4636.83,4637.13,6.27332,0.49551,29.9,100,200,10000,0,0,100,200,10000,0,0
3915965,4636.83,4637.13,6.27332,0.49551,29.9,100,200,10000,0,0,100,200,10000,0,0
3916759,4636.84,4637.14,6.05493,-0.21840,29.9,100,200,10000,0,0,100,200,10000,0,0
3917303,4636.83,4637.13,4.84394,-1.21099,29.9,100,200,10000,0,0,100,200,10000,0,0
3917492,4636.86,4637.16,4.22810,-0.61585,29.9,100,200,10000,0,0,100,200,10000,0,0
3918510,4636.86,4637.16,4.22810,-0.61585,29.9,100,200,10000,0,0,100,200,10000,0,0
3918674,4636.24,4636.54,13.89095,9.66286,29.9,100,200,10000,0,0,100,200,10000,0,0
3918835,4635.99,4636.29,24.08815,10.19720,29.9,100,200,10000,0,0,100,200,10000,0,0
3919038,4635.98,4636.28,30.66211,6.57396,29.9,100,200,10000,0,0,100,200,10000,0,0
3919910,4636.01,4636.31,24.90109,-5.76102,29.9,100,200,10000,0,0,100,200,10000,0,0
3921138,4636.03,4636.33,16.66750,-3.75938,29.9,100,200,10000,0,0,100,200,10000,0,0
3921292,4636.13,4636.43,15.07062,-1.59689,29.9,100,200,10000,0,0,100,200,10000,0,0
3921460,4636.14,4636.40,13.47768,-1.59293,29.8,100,200,10000,0,0,100,200,10000,0,0
3922369,4636.02,4636.32,12.82675,-0.65093,29.9,100,200,10000,0,0,100,200,10000,0,0
3922684,4636.04,4636.34,11.56753,-1.25923,29.9,100,200,10000,0,0,100,200,10000,0,0
3923485,4636.04,4636.34,11.56753,-1.25923,29.9,100,200,10000,0,0,100,200,10000,0,0
3924473,4636.04,4636.34,11.56753,-1.25923,29.9,100,200,10000,0,0,100,200,10000,0,0
3924725,4636.05,4636.35,9.35201,-2.21551,29.9,100,200,10000,0,0,100,200,10000,0,0
3925353,4636.08,4636.38,7.78135,-1.57066,29.9,100,200,10000,0,0,100,200,10000,0,0
3925581,4636.01,4636.31,6.43240,-1.34894,29.9,100,200,10000,0,0,100,200,10000,0,0
3926178,4636.00,4636.30,5.83653,-0.59587,29.9,100,200,10000,0,0,100,200,10000,0,0
3926382,4636.17,4636.47,6.42020,0.58367,29.9,100,200,10000,0,0,100,200,10000,0,0
3926773,4636.19,4636.49,8.15883,1.73863,29.9,100,200,10000,0,0,100,200,10000,0,0
3926993,4636.03,4636.33,6.81015,-1.34868,29.9,100,200,10000,0,0,100,200,10000,0,0
3927160,4636.17,4636.47,7.47343,0.66329,29.9,100,200,10000,0,0,100,200,10000,0,0
3927413,4636.19,4636.49,6.36710,-1.10634,29.9,100,200,10000,0,0,100,200,10000,0,0
3927755,4636.38,4636.68,8.14157,1.77448,29.9,100,200,10000,0,0,100,200,10000,0,0
3928544,4636.34,4636.64,9.16110,1.01952,29.9,100,200,10000,0,0,100,200,10000,0,0
3928823,4636.30,4636.60,8.83689,-0.32421,29.9,100,200,10000,0,0,100,200,10000,0,0
3929014,4636.29,4636.59,8.50492,-0.33197,29.9,100,200,10000,0,0,100,200,10000,0,0
3929270,4636.38,4636.68,6.80393,-1.70098,29.9,100,200,10000,0,0,100,200,10000,0,0
3929538,4636.29,4636.59,6.45780,-0.34613,29.9,100,200,10000,0,0,100,200,10000,0,0
3930035,4636.31,4636.61,5.55917,-0.89863,29.9,100,200,10000,0,0,100,200,10000,0,0
3930209,4636.28,4636.58,4.61484,-0.94433,29.9,100,200,10000,0,0,100,200,10000,0,0
3930482,4636.37,4636.67,3.85716,-0.75768,29.9,100,200,10000,0,0,100,200,10000,0,0
3930640,4636.36,4636.66,4.34927,0.49211,29.9,100,200,10000,0,0,100,200,10000,0,0
3930950,4636.33,4636.63,4.04319,-0.30608,29.9,100,200,10000,0,0,100,200,10000,0,0
3931172,4636.37,4636.67,4.28626,0.24307,29.9,100,200,10000,0,0,100,200,10000,0,0
3931379,4636.31,4636.61,3.94095,-0.34531,29.9,100,200,10000,0,0,100,200,10000,0,0
3932061,4636.35,4636.65,3.51377,-0.42718,29.9,100,200,10000,0,0,100,200,10000,0,0
3932744,4636.36,4636.66,3.54416,0.03038,29.9,100,200,10000,0,0,100,200,10000,0,0
3932958,4636.58,4636.88,6.25521,2.71105,29.9,100,200,10000,0,0,100,200,10000,0,0
3933509,4636.53,4636.83,7.49036,1.23515,29.9,100,200,10000,0,0,100,200,10000,0,0
3933867,4636.60,4636.90,10.27418,2.78382,29.9,100,200,10000,0,0,100,200,10000,0,0
3934112,4636.63,4636.93,9.08664,-1.18753,29.9,100,200,10000,0,0,100,200,10000,0,0
3934301,4636.68,4636.98,8.75852,-0.32813,29.9,100,200,10000,0,0,100,200,10000,0,0
3934481,4636.68,4636.98,8.75852,-0.32813,29.9,100,200,10000,0,0,100,200,10000,0,0
3934947,4636.67,4636.97,8.29952,-0.45900,29.9,100,200,10000,0,0,100,200,10000,0,0
3935101,4636.65,4636.95,7.44933,-0.85019,29.9,100,200,10000,0,0,100,200,10000,0,0
3935618,4636.95,4637.25,10.04728,2.59795,29.9,100,200,10000,0,0,100,200,10000,0,0
3935820,4636.86,4637.16,10.41406,0.36678,29.9,100,200,10000,0,0,100,200,10000,0,0
3936018,4636.84,4637.14,11.50585,1.09179,29.9,100,200,10000,0,0,100,200,10000,0,0
