TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
4070766,6906.51,6907.11,0.00000,0.00000,60.0,100,150,4000,0,0,100,150,4000,0,0
4071748,6906.76,6907.36,0.00000,0.00000,60.0,100,150,4000,0,0,100,150,4000,0,0
4072895,6906.51,6907.11,0.00000,0.00000,60.0,100,150,4000,0,0,100,150,4000,0,0
4074176,6906.26,6906.86,0.00000,0.00000,60.0,100,150,4000,0,0,100,150,4000,0,0
4074833,6906.01,6906.61,0.00000,0.00000,60.0,100,150,4000,0,0,100,150,4000,0,0
4075093,6906.26,6906.86,2.27583,2.27583,60.0,100,150,4000,0,0,100,150,4000,0,0
4075356,6906.13,6906.73,4.02033,1.74450,60.0,100,150,4000,0,0,100,150,4000,0,0
4075517,6906.26,6906.86,3.21626,-0.80407,60.0,100,150,4000,0,0,100,150,4000,0,0
4078421,6906.01,6906.61,4.29477,1.07851,60.0,100,150,4000,0,0,100,150,4000,0,0
4078714,6906.26,6906.86,3.43582,-0.85895,60.0,100,150,4000,0,0,100,150,4000,0,0
4080199,6906.01,6906.61,6.09986,2.66404,60.0,100,150,4000,0,0,100,150,4000,0,0
4082523,6906.26,6906.86,7.03878,0.93892,60.0,100,150,4000,0,0,100,150,4000,0,0
4083462,6906.01,6906.61,5.63103,-1.40776,60.0,100,150,4000,0,0,100,150,4000,0,0
4083998,6905.26,6905.86,18.00010,12.36907,60.0,100,150,4000,0,0,100,150,4000,0,0
4086590,6905.01,6905.61,16.33806,-1.66204,60.0,100,150,4000,0,0,100,150,4000,0,0
4089898,6905.01,6905.61,16.33806,-1.66204,60.0,100,150,4000,0,0,100,150,4000,0,0
4090848,6905.26,6905.86,14.24086,-2.09720,60.0,100,150,4000,0,0,100,150,4000,0,0
4091213,6905.01,6905.61,11.39269,-2.84817,60.0,100,150,4000,0,0,100,150,4000,0,0
4092009,6904.76,6905.36,17.72742,6.33473,60.0,100,150,4000,0,0,100,150,4000,0,0
4093182,6904.51,6905.11,18.45544,0.72802,60.0,100,150,4000,0,0,100,150,4000,0,0
4095993,6904.26,6904.86,16.55006,-1.90537,60.0,100,150,4000,0,0,100,150,4000,0,0
4096444,6903.76,6904.36,17.85260,1.30253,60.0,100,150,4000,0,0,100,150,4000,0,0
4096760,6903.51,6904.11,19.89533,2.04273,60.0,100,150,4000,0,0,100,150,4000,0,0
4096963,6903.26,6903.86,22.52827,2.63294,60.0,100,150,4000,0,0,100,150,4000,0,0
4097384,6903.01,6903.61,35.86701,13.33874,60.0,100,150,4000,0,0,100,150,4000,0,0
4097961,6903.51,6904.11,28.69361,-7.17340,60.0,100,150,4000,0,0,100,150,4000,0,0
4098359,6903.26,6903.86,22.95489,-5.73872,60.0,100,150,4000,0,0,100,150,4000,0,0
4099441,6903.01,6903.61,22.99354,0.03865,60.0,100,150,4000,0,0,100,150,4000,0,0
4100241,6903.26,6903.86,18.39483,-4.59871,60.0,100,150,4000,0,0,100,150,4000,0,0
4103172,6903.01,6903.61,16.42002,-1.97481,60.0,100,150,4000,0,0,100,150,4000,0,0
4104107,6903.26,6903.86,13.13602,-3.28400,60.0,100,150,4000,0,0,100,150,4000,0,0
4104379,6903.51,6904.11,18.79382,5.65780,60.0,100,150,4000,0,0,100,150,4000,0,0
4107621,6903.76,6904.36,16.57731,-2.21651,60.0,100,150,4000,0,0,100,150,4000,0,0
4107972,6904.01,6904.61,16.05437,-0.52295,60.0,100,150,4000,0,0,100,150,4000,0,0
4110087,6903.76,6904.36,15.19754,-0.85682,60.0,100,150,4000,0,0,100,150,4000,0,0
4111247,6904.01,6904.61,12.15803,-3.03951,60.0,100,150,4000,0,0,100,150,4000,0,0
4111518,6903.76,6904.36,9.72643,-2.43161,60.0,100,150,4000,0,0,100,150,4000,0,0
4111991,6904.01,6904.61,10.41688,0.69046,60.0,100,150,4000,0,0,100,150,4000,0,0
4116029,6904.07,6904.67,8.63032,-1.78657,60.0,100,150,4000,0,0,100,150,4000,0,0
4116249,6903.76,6904.36,8.07604,-0.55428,60.0,100,150,4000,0,0,100,150,4000,0,0
4117233,6904.01,6904.61,7.45751,-0.61853,60.0,100,150,4000,0,0,100,150,4000,0,0
4118439,6904.26,6904.86,10.10851,2.65100,60.0,100,150,4000,0,0,100,150,4000,0,0
4119835,6904.38,6904.98,9.80600,-0.30250,60.0,100,150,4000,0,0,100,150,4000,0,0
4119997,6904.26,6904.86,7.84480,-1.96120,60.0,100,150,4000,0,0,100,150,4000,0,0
