 $ sudo ./radar_env/bin/python ebpf_sniffer_v5_port_based.py
[sudo] Misi jelszava:
⚙ eBPF (BCC) 'Port-Based' kód fordítása és betöltése (Kérlek várj)...
✅ Sikeres kprobe attach: ip_local_out
📡 RED TEAM SNIFFER AKTÍV (V5 - Port-Based). Figyelt port: 443. Payload mentése ide: logs/
   Nyomj Ctrl+C-t a leállításhoz.
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 78.140.180.43:443 | Size: 60 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 307 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 126 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 422 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] winedevice.exe (PID: 42585) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] winedevice.exe (PID: 42585) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] winedevice.exe (PID: 42585) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] wine_sechost_se (PID: 42560) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] wine_sechost_se (PID: 42560) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] wine_sechost_se (PID: 42560) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] dolphin (PID: 6231) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] dolphin (PID: 6231) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] sudo (PID: 42217) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] sudo (PID: 42217) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] main (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 194.164.179.199:443 | Size: 60 bytes
