  eBPF (BCC) 'Port-Based' kód fordítása és betöltése (Kérlek várj)...
✅ Sikeres kprobe attach: ip_local_out
📡 RED TEAM SNIFFER AKTÍV (V5 - Port-Based). Figyelt port: 443. Payload mentése ide: logs/
   Nyomj Ctrl+C-t a leállításhoz.
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 307 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 126 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 422 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 126 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 755 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 760 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 117 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 1104 bytes
[TCP OUT] net dispatcher (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 114 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 148 bytes
[TCP OUT] history symbol (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 161 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 118 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 118 bytes
[TCP OUT] MQL5.community (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 307 bytes
[TCP OUT] MQL5.community (PID: 55834) | 192.168.1.103 -> 78.140.180.54:443 | Size: 316 bytes
[TCP OUT] MQL5.community (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 126 bytes
[TCP OUT] MQL5.community (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 754 bytes
[TCP OUT] MQL5.community (PID: 55834) | 192.168.1.103 -> 78.140.180.54:443 | Size: 98 bytes
[TCP OUT] MQL5.community (PID: 55834) | 192.168.1.103 -> 78.140.180.54:443 | Size: 1320 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 758 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 106.14.13.75:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 106.14.13.75:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 106.14.13.75:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 106.14.13.75:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 106.14.13.75:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 106.14.13.75:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 47.89.187.64:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 47.89.187.64:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 47.89.187.64:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 47.89.187.64:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 47.89.187.64:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 47.89.187.64:443 | Size: 69 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 126 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 761 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 207.246.127.101:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 207.246.127.101:443 | Size: 69 bytes
